ATT&CK Tactic ID,ATT&CK Tactic Name,ATT&CK Tactic Description,STIX ID,URL,Created,Last Modified,Domain,Version,Type
TA0001,Initial Access,The adversary is trying to get into your network.  Initial Access consists of techniques that use various entry vectors to gain their initial foothold within a network. Techniques used to gain a foothold include targeted spearphishing and exploiting weakn,x-mitre-tactic--ffd5bcee-6e16-4dd2-8eca-7b3beedf33ca,https://attack.mitre.org/tactics/TA0001,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0002,Execution,The adversary is trying to run malicious code.  Execution consists of techniques that result in adversary-controlled code running on a local or remote system. Techniques that run malicious code are often paired with techniques from all other tactics to ac,x-mitre-tactic--4ca45d45-df4d-4613-8980-bac22d278fa5,https://attack.mitre.org/tactics/TA0002,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0003,Persistence,"The adversary is trying to maintain their foothold.  Persistence consists of techniques that adversaries use to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access. Techniques used for persi",x-mitre-tactic--5bc1d813-693e-4823-9961-abf9af4b0e92,https://attack.mitre.org/tactics/TA0003,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0004,Privilege Escalation,The adversary is trying to gain higher-level permissions.  Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access,x-mitre-tactic--5e29b093-294e-49e9-a803-dab3d73b77dd,https://attack.mitre.org/tactics/TA0004,17 October 2018,06 January 2021,enterprise-attack,1.0,Enterprise
TA0005,Defense Evasion,The adversary is trying to avoid being detected.  Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise. Techniques used for defense evasion include uninstalling/disabling security software or obfuscati,x-mitre-tactic--78b23412-0651-46d7-a540-170a1ce8bd5a,https://attack.mitre.org/tactics/TA0005,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0006,Credential Access,The adversary is trying to steal account names and passwords.  Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimat,x-mitre-tactic--2558fd61-8c75-4730-94c4-11926db2a263,https://attack.mitre.org/tactics/TA0006,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0007,Discovery,The adversary is trying to figure out your environment.  Discovery consists of techniques an adversary may use to gain knowledge about the system and internal network. These techniques help adversaries observe the environment and orient themselves before ,x-mitre-tactic--c17c5845-175e-4421-9713-829d0573dbc9,https://attack.mitre.org/tactics/TA0007,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0008,Lateral Movement,The adversary is trying to move through your environment.  Lateral Movement consists of techniques that adversaries use to enter and control remote systems on a network. Following through on their primary objective often requires exploring the network to ,x-mitre-tactic--7141578b-e50b-4dcc-bfa4-08a8dd689e9e,https://attack.mitre.org/tactics/TA0008,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0009,Collection,The adversary is trying to gather data of interest to their goal.  Collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversary's objectiv,x-mitre-tactic--d108ce10-2419-4cf9-a774-46161d6c6cfe,https://attack.mitre.org/tactics/TA0009,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0010,Exfiltration,"The adversary is trying to steal data.  Exfiltration consists of techniques that adversaries may use to steal data from your network. Once they’ve collected data, adversaries often package it to avoid detection while removing it. This can include compress",x-mitre-tactic--9a4e74ab-5008-408c-84bf-a10dfbc53462,https://attack.mitre.org/tactics/TA0010,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
