ATT&CK Mitigation ID,ATT&CK Mitigation Name,ATT&CK Mitigation Description,STIX ID,URL,Created,Last Modified,Domain,Version,Type
M0800,Authorization Enforcement,"The device or system should restrict read, manipulate, or execute privileges to only authenticated users who require access based on approved security policies.  Role-based Access Control (RBAC) schemes can help reduce the overhead of assigning permission",course-of-action--e0d38502-decb-481d-ad8b-b8f0a0c330bd,https://attack.mitre.org/mitigations/M0800,11 September 2020,20 October 2023,ics-attack,1.1,Industrial Control Systems
M0801,Access Management,"Access Management technologies can be used to enforce authorization polices and decisions, especially when existing field devices do not provided sufficient capabilities to support user identification and authentication. (Citation: McCarthy, J et al. July",course-of-action--3992ce42-43e9-4bea-b8db-a102ec3ec1e3,https://attack.mitre.org/mitigations/M0801,11 September 2020,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0802,Communication Authenticity,"When communicating over an untrusted network, utilize secure network protocols that both authenticate the message sender and can verify its integrity. This can be done either through message authentication codes (MACs) or digital signatures, to detect spo",course-of-action--c7257b6e-4159-4771-b1f3-2bb93adaecac,https://attack.mitre.org/mitigations/M0802,11 September 2020,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0803,Data Loss Prevention,"Data Loss Prevention (DLP) technologies can be used to help identify adversarial attempts to exfiltrate operational information, such as engineering plans, trade secrets, recipes, intellectual property, or process telemetry. DLP functionality may be built",course-of-action--337c4e2a-21a7-4d9a-bfee-9efd6cebf0e5,https://attack.mitre.org/mitigations/M0803,11 September 2020,30 March 2023,ics-attack,1.0,Industrial Control Systems
M0804,Human User Authentication,"Require user authentication before allowing access to data or accepting commands to a device. While strong multi-factor authentication is preferable, it is not always feasible within ICS environments. Performing strong user authentication also requires ad",course-of-action--66cfe23e-34b6-4583-b178-ed6a412db2b0,https://attack.mitre.org/mitigations/M0804,11 September 2020,20 October 2023,ics-attack,1.1,Industrial Control Systems
M0805,Mechanical Protection Layers,"Utilize a layered protection design based on physical or mechanical protection systems to prevent damage to property, equipment, human safety, or the environment. Examples include interlocks, rupture disk, release values, etc. (Citation: A G Foord, W G Gu",course-of-action--8bc4a54e-810c-4600-8b6c-08fa8413a401,https://attack.mitre.org/mitigations/M0805,11 September 2020,24 October 2022,ics-attack,1.0,Industrial Control Systems
M0806,Minimize Wireless Signal Propagation,"Wireless signals frequently propagate outside of organizational boundaries, which provide opportunities for adversaries to monitor or gain unauthorized access to the wireless network. (Citation: CISA March 2010) To minimize this threat, organizations shou",course-of-action--fce6866f-9a87-4d3e-a73c-f02d8937fe0e,https://attack.mitre.org/mitigations/M0806,11 September 2020,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0807,Network Allowlists,"Network allowlists can be implemented through either host-based files or system hosts files to specify what connections (e.g., IP address, MAC address, port, protocol) can be made from a device. Allowlist techniques that operate at the  application layer",course-of-action--aadac250-bcdc-44e3-a4ae-f52bd0a7a16a,https://attack.mitre.org/mitigations/M0807,10 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0808,Encrypt Network Traffic,Utilize strong cryptographic techniques and protocols to prevent eavesdropping on network communications.,course-of-action--7f153c28-e5f1-4764-88fb-eea1d9b0ad4a,https://attack.mitre.org/mitigations/M0808,11 September 2020,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0809,Operational Information Confidentiality,"Deploy mechanisms to protect the confidentiality of information related to operational processes, facility locations, device configurations, programs, or databases that may have information that can be used to infer organizational trade-secrets, recipes,",course-of-action--99c746d7-a08a-4169-94f9-b8c0dad716fa,https://attack.mitre.org/mitigations/M0809,06 June 2019,30 March 2023,ics-attack,1.0,Industrial Control Systems
M0810,Out-of-Band Communications Channel,Have alternative methods to support communication requirements during communication failures and data integrity attacks. (Citation: National Institute of Standards and Technology April 2013) (Citation: Defense Advanced Research Projects Agency),course-of-action--b11cad63-ef30-4eb8-af0d-6cc46eef3f3e,https://attack.mitre.org/mitigations/M0810,06 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0811,Redundancy of Service,"Redundancy could be provided for both critical ICS devices and services, such as back-up devices or hot-standbys.",course-of-action--f0f5c87a-a58d-440a-b3b5-ca679d98c6dd,https://attack.mitre.org/mitigations/M0811,06 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0812,Safety Instrumented Systems,"Utilize Safety Instrumented Systems (SIS) to provide an additional layer of protection to hazard scenarios that may cause property damage. A SIS will typically include sensors, logic solvers, and a final control element that can be used to automatically r",course-of-action--da44255d-85c5-492c-baf3-ee823d44f848,https://attack.mitre.org/mitigations/M0812,06 June 2019,24 October 2022,ics-attack,1.0,Industrial Control Systems
M0813,Software Process and Device Authentication,"Require the authentication of devices and software processes where appropriate. Devices that connect remotely to other systems should require strong authentication to prevent spoofing of communications. Furthermore, software processes should also require",course-of-action--72e46e53-e12d-4106-9c70-33241b6ed549,https://attack.mitre.org/mitigations/M0813,06 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0814,Static Network Configuration,"Configure hosts and devices to use static network configurations when possible, protocols that require dynamic discovery/addressing (e.g., ARP, DHCP, DNS) can be used to manipulate network message forwarding and enable various AiTM attacks. This mitigatio",course-of-action--52c7a1a9-3a78-4528-a44f-cd7b0fa3541a,https://attack.mitre.org/mitigations/M0814,06 June 2019,20 September 2023,ics-attack,1.1,Industrial Control Systems
M0815,Watchdog Timers,Utilize watchdog timers to ensure devices can quickly detect whether a system is unresponsive.,course-of-action--98aa0d61-fc9d-4b2d-8f18-b25d03549f53,https://attack.mitre.org/mitigations/M0815,06 June 2019,30 March 2023,ics-attack,1.0,Industrial Control Systems
M0816,Mitigation Limited or Not Effective,This type of attack technique cannot be easily mitigated with preventative controls since it is based on the abuse of system features.,course-of-action--469b78dd-a54d-4f7c-8c3b-4a1dd916b433,https://attack.mitre.org/mitigations/M0816,11 September 2020,24 October 2022,ics-attack,1.0,Industrial Control Systems
M0817,Supply Chain Management,"Implement a supply chain management program, including policies and procedures to ensure all devices and components originate from a trusted supplier and are tested to verify their integrity.",course-of-action--ac8f3492-7fbb-4a0a-b0b4-b75ec676136c,https://attack.mitre.org/mitigations/M0817,12 April 2021,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0818,Validate Program Inputs,Devices and programs designed to interact with control system parameters should validate the format and content of all user inputs and actions to ensure the values are within intended operational ranges. These values should be evaluated and further enforc,course-of-action--1cbcceef-3233-4062-aa86-ec91afe39517,https://attack.mitre.org/mitigations/M0818,22 March 2023,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0913,Application Developer Guidance,This mitigation describes any guidance or training given to developers of applications to avoid introducing security weaknesses that an adversary may be able to take advantage of.,course-of-action--8a3aadd0-b5f4-433a-800e-4893e4196bb7,https://attack.mitre.org/mitigations/M0913,25 October 2017,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0915,Active Directory Configuration,"Configure Active Directory to prevent use of certain techniques; use security identifier (SID) Filtering, etc.",course-of-action--2f0160b7-e982-49d7-9612-f19b810f1722,https://attack.mitre.org/mitigations/M0915,06 June 2019,24 October 2022,ics-attack,1.0,Industrial Control Systems
M0916,Vulnerability Scanning,Vulnerability scanning is used to find potentially exploitable software vulnerabilities to remediate them.,course-of-action--de0bc375-50e1-4e26-a342-a8ff8c9d3037,https://attack.mitre.org/mitigations/M0916,06 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0917,User Training,"Train users to be aware of access or manipulation attempts by an adversary to reduce the risk of successful spearphishing, social engineering, and other techniques that involve user interaction.",course-of-action--dc61c280-c29d-44e5-a960-c0dd1623d2ba,https://attack.mitre.org/mitigations/M0917,06 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0918,User Account Management,"Manage the creation, modification, use, and permissions associated to user accounts.",course-of-action--e57ebc6d-785f-40c8-adb1-b5b5e09b3b48,https://attack.mitre.org/mitigations/M0918,06 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0919,Threat Intelligence Program,A threat intelligence program helps an organization generate their own threat intelligence information and track trends to inform defensive priorities to mitigate risk.,course-of-action--d48b79b2-076d-483e-949c-0d38aa347499,https://attack.mitre.org/mitigations/M0919,06 June 2019,24 October 2022,ics-attack,1.0,Industrial Control Systems
M0920,SSL/TLS Inspection,Break and inspect SSL/TLS sessions to look at encrypted web traffic for adversary activity.,course-of-action--6a02e38a-9629-40c0-8c7d-e98e3470315c,https://attack.mitre.org/mitigations/M0920,06 June 2019,24 October 2022,ics-attack,1.0,Industrial Control Systems
M0921,Restrict Web-Based Content,"Restrict use of certain websites, block downloads/attachments, block Javascript, restrict browser extensions, etc.",course-of-action--143b4398-3222-480a-b6a4-e131bc2d3144,https://attack.mitre.org/mitigations/M0921,06 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0922,Restrict File and Directory Permissions,Restrict access by setting directory and file permissions that are not specific to users or privileged accounts.,course-of-action--f9fcb3ec-6de0-4559-8cd9-ef1c0c7d1971,https://attack.mitre.org/mitigations/M0922,06 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0924,Restrict Registry Permissions,Restrict the ability to modify certain hives or keys in the Windows Registry.,course-of-action--3222a807-521b-4a1a-aa13-f1cda45734b3,https://attack.mitre.org/mitigations/M0924,06 June 2019,20 September 2023,ics-attack,1.0,Industrial Control Systems
M0926,Privileged Account Management,"Manage the creation, modification, use, and permissions associated to privileged accounts, including SYSTEM and root.",course-of-action--622fe4d4-0e8e-4d17-9c25-6c9cef1f15d5,https://attack.mitre.org/mitigations/M0926,06 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0927,Password Policies,Set and enforce secure password policies for accounts.,course-of-action--5d97c693-e054-48ba-a3a3-eaf6942dfb65,https://attack.mitre.org/mitigations/M0927,06 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0928,Operating System Configuration,Make configuration changes related to the operating system or a common feature of the operating system that result in system hardening against techniques.,course-of-action--9a945a29-5233-4422-a9e3-3e957b0e8bce,https://attack.mitre.org/mitigations/M0928,06 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0930,Network Segmentation,"Architect sections of the network to isolate critical systems, functions, or resources. Use physical and logical segmentation to prevent access to potentially sensitive systems and information. Use a DMZ to contain any internet-facing services that should",course-of-action--1e7ccfc0-94c8-496e-8d27-032120892291,https://attack.mitre.org/mitigations/M0930,10 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
M0931,Network Intrusion Prevention,"Use intrusion detection signatures to block traffic at network boundaries.  In industrial control environments, network intrusion prevention should be configured so it will not disrupt protocols and communications responsible for real-time functions relat",course-of-action--3172222b-4983-43f7-8983-753ded4f13bc,https://attack.mitre.org/mitigations/M0931,10 June 2019,19 September 2023,ics-attack,1.0,Industrial Control Systems
