ATT&CK Tactic ID,ATT&CK Tactic Name,ATT&CK Tactic Description,STIX ID,URL,Created,Last Modified,Domain,Version,Type
TA0001,Initial Access,"The adversary is trying to get into your network.  Initial Access consists of techniques that use various entry vectors to gain their initial foothold within a network. Techniques used to gain a foothold include targeted spearphishing and exploiting weaknesses on public-facing web servers. Footholds gained through initial access may allow for continued access, like valid accounts and use of external remote services, or may be limited-use due to changing passwords.",x-mitre-tactic--ffd5bcee-6e16-4dd2-8eca-7b3beedf33ca,https://attack.mitre.org/tactics/TA0001,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0002,Execution,"The adversary is trying to run malicious code.  Execution consists of techniques that result in adversary-controlled code running on a local or remote system. Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data. For example, an adversary might use a remote access tool to run a PowerShell script that does Remote System Discovery.",x-mitre-tactic--4ca45d45-df4d-4613-8980-bac22d278fa5,https://attack.mitre.org/tactics/TA0002,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0003,Persistence,"The adversary is trying to maintain their foothold.  Persistence consists of techniques that adversaries use to keep access to systems across restarts, changed credentials, and other interruptions that could cut off their access. Techniques used for persistence include any access, action, or configuration changes that let them maintain their foothold on systems, such as replacing or hijacking legitimate code or adding startup code.",x-mitre-tactic--5bc1d813-693e-4823-9961-abf9af4b0e92,https://attack.mitre.org/tactics/TA0003,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0004,Privilege Escalation,"The adversary is trying to gain higher-level permissions.  Privilege Escalation consists of techniques that adversaries use to gain higher-level permissions on a system or network. Adversaries can often enter and explore a network with unprivileged access but require elevated permissions to follow through on their objectives. Common approaches are to take advantage of system weaknesses, misconfigurations, and vulnerabilities. Examples of elevated access include:   * SYSTEM/root level * local administrator * user account with admin-like access  * user accounts with access to specific system or perform specific function  These techniques often overlap with Persistence techniques, as OS features that let an adversary persist can execute in an elevated context.",x-mitre-tactic--5e29b093-294e-49e9-a803-dab3d73b77dd,https://attack.mitre.org/tactics/TA0004,17 October 2018,06 January 2021,enterprise-attack,1.0,Enterprise
TA0005,Defense Evasion,The adversary is trying to avoid being detected.  Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise. Techniques used for defense evasion include uninstalling/disabling security software or obfuscating/encrypting data and scripts. Adversaries also leverage and abuse trusted processes to hide and masquerade their malware. Other tactics’ techniques are cross-listed here when those techniques include the added benefit of subverting defenses.,x-mitre-tactic--78b23412-0651-46d7-a540-170a1ce8bd5a,https://attack.mitre.org/tactics/TA0005,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0006,Credential Access,"The adversary is trying to steal account names and passwords.  Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimate credentials can give adversaries access to systems, make them harder to detect, and provide the opportunity to create more accounts to help achieve their goals.",x-mitre-tactic--2558fd61-8c75-4730-94c4-11926db2a263,https://attack.mitre.org/tactics/TA0006,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0007,Discovery,The adversary is trying to figure out your environment.  Discovery consists of techniques an adversary may use to gain knowledge about the system and internal network. These techniques help adversaries observe the environment and orient themselves before deciding how to act. They also allow adversaries to explore what they can control and what’s around their entry point in order to discover how it could benefit their current objective. Native operating system tools are often used toward this post-compromise information-gathering objective.,x-mitre-tactic--c17c5845-175e-4421-9713-829d0573dbc9,https://attack.mitre.org/tactics/TA0007,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0008,Lateral Movement,"The adversary is trying to move through your environment.  Lateral Movement consists of techniques that adversaries use to enter and control remote systems on a network. Following through on their primary objective often requires exploring the network to find their target and subsequently gaining access to it. Reaching their objective often involves pivoting through multiple systems and accounts to gain. Adversaries might install their own remote access tools to accomplish Lateral Movement or use legitimate credentials with native network and operating system tools, which may be stealthier.",x-mitre-tactic--7141578b-e50b-4dcc-bfa4-08a8dd689e9e,https://attack.mitre.org/tactics/TA0008,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0009,Collection,"The adversary is trying to gather data of interest to their goal.  Collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversary's objectives. Frequently, the next goal after collecting data is to steal (exfiltrate) the data. Common target sources include various drive types, browsers, audio, video, and email. Common collection methods include capturing screenshots and keyboard input.",x-mitre-tactic--d108ce10-2419-4cf9-a774-46161d6c6cfe,https://attack.mitre.org/tactics/TA0009,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0010,Exfiltration,"The adversary is trying to steal data.  Exfiltration consists of techniques that adversaries may use to steal data from your network. Once they’ve collected data, adversaries often package it to avoid detection while removing it. This can include compression and encryption. Techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission.",x-mitre-tactic--9a4e74ab-5008-408c-84bf-a10dfbc53462,https://attack.mitre.org/tactics/TA0010,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0011,Command and Control,"The adversary is trying to communicate with compromised systems to control them.  Command and Control consists of techniques that adversaries may use to communicate with systems under their control within a victim network. Adversaries commonly attempt to mimic normal, expected traffic to avoid detection. There are many ways an adversary can establish command and control with various levels of stealth depending on the victim’s network structure and defenses.",x-mitre-tactic--f72804c5-f15a-449e-a5da-2eecd181f813,https://attack.mitre.org/tactics/TA0011,17 October 2018,19 July 2019,enterprise-attack,1.0,Enterprise
TA0027,Initial Access,The adversary is trying to get into your device.  The initial access tactic represents the vectors adversaries use to gain an initial foothold onto a mobile device.,x-mitre-tactic--0a93fd8e-4a83-4c15-8203-db290e5f2ac6,https://attack.mitre.org/tactics/TA0027,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0028,Persistence," The adversary is trying to maintain their foothold.  Persistence is any access, action, or configuration change to a mobile device that gives an attacker a persistent presence on the device. Attackers often will need to maintain access to mobile devices through interruptions such as device reboots and potentially even factory data resets.",x-mitre-tactic--363bbeff-bb2a-4734-ac74-d6d37202fe54,https://attack.mitre.org/tactics/TA0028,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0029,Privilege Escalation, The adversary is trying to gain higher-level permissions.  Privilege escalation includes techniques that allow an attacker to obtain a higher level of permissions on the mobile device. Attackers may enter the mobile device with very limited privileges and may be required to take advantage of a device weakness to obtain higher privileges necessary to successfully carry out their mission objectives.,x-mitre-tactic--3e962de5-3280-43b7-bc10-334fbc1d6fa8,https://attack.mitre.org/tactics/TA0029,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0030,Defense Evasion, The adversary is trying to avoid being detected.  Defense evasion consists of techniques an adversary may use to evade detection or avoid other defenses. Sometimes these actions are the same as or variations of techniques in other categories that have the added benefit of subverting a particular defense or mitigation. Defense evasion may be considered a set of attributes the adversary applies to all other phases of the operation.,x-mitre-tactic--987cda6d-eb77-406b-bf68-bcb5f3d2e1df,https://attack.mitre.org/tactics/TA0030,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0031,Credential Access,"The adversary is trying to steal account names, passwords, or other secrets that enable access to resources.  Credential access represents techniques that can be used by adversaries to obtain access to or control over passwords, tokens, cryptographic keys, or other values that could be used by an adversary to gain unauthorized access to resources. Credential access allows the adversary to assume the identity of an account, with all of that account's permissions on the system and network, and makes it harder for defenders to detect the adversary. With sufficient access within a network, an adversary can create accounts for later use within the environment.",x-mitre-tactic--6fcb36b8-3776-483b-8699-42215714fb10,https://attack.mitre.org/tactics/TA0031,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0032,Discovery,"The adversary is trying to figure out your environment.  Discovery consists of techniques that allow the adversary to gain knowledge about the characteristics of the mobile device and potentially other networked systems. When adversaries gain access to a new system, they must orient themselves to what they now have control of and what benefits operating from that system give to their current objective or overall goals during the intrusion. The operating system may provide capabilities that aid in this post-compromise information-gathering phase.",x-mitre-tactic--d418cdeb-1b9f-4a6b-a15d-2f89f549f8c1,https://attack.mitre.org/tactics/TA0032,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0033,Lateral Movement,"The adversary is trying to move through your environment.  Lateral movement consists of techniques that enable an adversary to access and control remote systems on a network and could, but does not necessarily, include execution of tools on remote systems. The lateral movement techniques could allow an adversary to gather information from a system without needing additional tools, such as a remote access tool.",x-mitre-tactic--7be441c2-0095-4b1e-8125-fa8ffda29b0f,https://attack.mitre.org/tactics/TA0033,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0034,Impact,"The adversary is trying to manipulate, interrupt, or destroy your devices and data.  The impact tactic consists of techniques used by the adversary to execute his or her mission objectives but that do not cleanly fit into another category such as Collection. Mission objectives vary based on each adversary's goals, but examples include toll fraud, destruction of device data, or locking the user out of his or her device until a ransom is paid.",x-mitre-tactic--6ebce653-294a-444a-bffb-14c04c8d137e,https://attack.mitre.org/tactics/TA0034,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0035,Collection,"The adversary is trying to gather data of interest to their goal.  Collection consists of techniques used to identify and gather information, such as sensitive files, from a target network prior to exfiltration. This category also covers locations on a system or network where the adversary may look for information to exfiltrate.",x-mitre-tactic--7a0d25d3-f0c0-40bf-bf90-c743871b19ba,https://attack.mitre.org/tactics/TA0035,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0036,Exfiltration,"The adversary is trying to steal data.  Exfiltration refers to techniques and attributes that result or aid in the adversary removing files and information from the targeted mobile device.  In the mobile environment, mobile devices are frequently connected to networks outside enterprise control such as cellular networks or public Wi-Fi networks. Adversaries could attempt to evade detection by communicating on these networks, and potentially even by using non-Internet Protocol mechanisms such as Short Message Service (SMS). However, cellular networks often have data caps and/or extra data charges that could increase the potential for adversarial communication to be detected.",x-mitre-tactic--10fa8d8d-1b04-4176-917e-738724239981,https://attack.mitre.org/tactics/TA0036,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0037,Command and Control,"The adversary is trying to communicate with compromised devices to control them.  The command and control tactic represents how adversaries communicate with systems under their control within a target network. There are many ways an adversary can establish command and control with various levels of covertness, depending on system configuration and network topology. Due to the wide degree of variation available to the adversary at the network level, only the most common factors were used to describe the differences in command and control. There are still a great many specific techniques within the documented methods, largely due to how easy it is to define new protocols and use existing, legitimate protocols and network services for communication.   The resulting breakdown should help convey the concept that detecting intrusion through command and control protocols without prior knowledge is a difficult proposition over the long term. Adversaries' main constraints in network-level defense avoidance are testing and deployment of tools to rapidly change their protocols, awareness of existing defensive technologies, and access to legitimate Web services that, when used appropriately, make their tools difficult to distinguish from benign traffic.  Additionally, in the mobile environment, mobile devices are frequently connected to networks outside enterprise control such as cellular networks or public Wi-Fi networks. Adversaries could attempt to evade detection by communicating on these networks, and potentially even by using non-Internet Protocol mechanisms such as Short Message Service (SMS). However, cellular networks often have data caps and/or extra data charges that could increase the potential for adversarial communication to be detected.",x-mitre-tactic--3f660805-fa2e-42e8-8851-57f9e9b653e3,https://attack.mitre.org/tactics/TA0037,17 October 2018,27 January 2020,mobile-attack,1.0,Mobile
TA0040,Impact,"The adversary is trying to manipulate, interrupt, or destroy your systems and data.   Impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes. Techniques used for impact can include destroying or tampering with data. In some cases, business processes can look fine, but may have been altered to benefit the adversaries’ goals. These techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach.",x-mitre-tactic--5569339b-94c2-49ee-afb3-2222936582c8,https://attack.mitre.org/tactics/TA0040,14 March 2019,25 July 2019,enterprise-attack,1.0,Enterprise
TA0041,Execution,"The adversary is trying to run malicious code.  Execution consists of techniques that result in adversary-controlled code running on a mobile device. Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data.",x-mitre-tactic--4a800987-a3a8-4d56-a1bd-0d7171431756,https://attack.mitre.org/tactics/TA0041,27 January 2020,27 January 2020,mobile-attack,1.0,Mobile
TA0042,Resource Development,"The adversary is trying to establish resources they can use to support operations.  Resource Development consists of techniques that involve adversaries creating, purchasing, or compromising/stealing resources that can be used to support targeting. Such resources include infrastructure, accounts, or capabilities. These resources can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as using purchased domains to support Command and Control, email accounts for phishing as a part of Initial Access, or stealing code signing certificates to help with Defense Evasion.",x-mitre-tactic--d679bca2-e57d-4935-8650-8031c87a4400,https://attack.mitre.org/tactics/TA0042,30 September 2020,30 September 2020,enterprise-attack,1.0,Enterprise
TA0043,Reconnaissance,"The adversary is trying to gather information they can use to plan future operations.  Reconnaissance consists of techniques that involve adversaries actively or passively gathering information that can be used to support targeting. Such information may include details of the victim organization, infrastructure, or staff/personnel. This information can be leveraged by the adversary to aid in other phases of the adversary lifecycle, such as using gathered information to plan and execute Initial Access, to scope and prioritize post-compromise objectives, or to drive and lead further Reconnaissance efforts.",x-mitre-tactic--daa4cbb1-b4f4-4723-a824-7f1efd6e0592,https://attack.mitre.org/tactics/TA0043,02 October 2020,18 October 2020,enterprise-attack,1.0,Enterprise
TA0100,Collection,"The adversary is trying to gather data of interest and domain knowledge on your ICS environment to inform their goal.  Collection consists of techniques adversaries use to gather domain knowledge and obtain contextual feedback in an ICS environment. This tactic is often performed as part of [Discovery](https://attack.mitre.org/tactics/TA0102), to compile data on control systems and targets of interest that may be used to follow through on the adversary’s objective. Examples of these techniques include observing operation states, capturing screenshots, identifying unique device roles, and gathering system and diagram schematics. Collection of this data can play a key role in planning, executing, and even revising an ICS-targeted attack. Methods of collection depend on the categories of data being targeted, which can include protocol specific, device specific, and process specific configurations and functionality. Information collected may pertain to a combination of system, supervisory, device, and network related data, which conceptually fall under high, medium, and low levels of plan operations. For example, information repositories on plant data at a high level or device specific programs at a low level. Sensitive floor plans, vendor device manuals, and other references may also be at risk and exposed on the internet or otherwise publicly accessible.",x-mitre-tactic--b2a67b1e-913c-46f6-b219-048a90560bb9,https://attack.mitre.org/tactics/TA0100,17 October 2018,08 March 2023,ics-attack,1.0,Industrial Control Systems
TA0101,Command and Control,"The adversary is trying to communicate with and control compromised systems, controllers, and platforms with access to your ICS environment.  Command and Control consists of techniques that adversaries use to communicate with and send commands to compromised systems, devices, controllers, and platforms with specialized applications used in ICS environments. Examples of these specialized communication devices include human machine interfaces (HMIs), data historians, SCADA servers, and engineering workstations (EWS). Adversaries often seek to use commonly available resources and mimic expected network traffic to avoid detection and suspicion. For instance, commonly used ports and protocols in ICS environments, and even expected IT resources, depending on the target network. Command and Control may be established to varying degrees of stealth, often depending on the victim’s network structure and defenses.",x-mitre-tactic--97c8ff73-bd14-4b6c-ac32-3d91d2c41e3f,https://attack.mitre.org/tactics/TA0101,17 October 2018,09 March 2023,ics-attack,1.0,Industrial Control Systems
TA0102,Discovery,"The adversary is locating information to assess and identify their targets in your environment.  Discovery consists of techniques that adversaries use to survey your ICS environment and gain knowledge about the internal network, control system devices, and how their processes interact. These techniques help adversaries observe the environment and determine next steps for target selection and Lateral Movement. They also allow adversaries to explore what they can control and gain insight on interactions between various control system processes. Discovery techniques are often an act of progression into the environment which enable the adversary to orient themselves before deciding how to act. Adversaries may use Discovery techniques that result in Collection, to help determine how available resources benefit their current objective. A combination of native device communications and functions, and custom tools are often used toward this post-compromise information-gathering objective.",x-mitre-tactic--696af733-728e-49d7-8261-75fdc590f453,https://attack.mitre.org/tactics/TA0102,17 October 2018,09 March 2023,ics-attack,1.0,Industrial Control Systems
TA0103,Evasion,"The adversary is trying to avoid security defenses.  Evasion consists of techniques that adversaries use to avoid technical defenses throughout their campaign. Techniques used for evasion include removal of indicators of compromise, spoofing communications, and exploiting software vulnerabilities. Adversaries may also leverage and abuse trusted devices and processes to hide their activity, possibly by masquerading as master devices or native software. Methods of defense evasion for this purpose are often more passive in nature.",x-mitre-tactic--ddf70682-f3ce-479c-a9a4-7eadf9bfead7,https://attack.mitre.org/tactics/TA0103,17 October 2018,09 March 2023,ics-attack,1.0,Industrial Control Systems
TA0104,Execution,"The adversary is trying to run code or manipulate system functions, parameters, and data in an unauthorized way.  Execution consists of techniques that result in adversary-controlled code running on a local or remote system, device, or other asset. This execution may also rely on unknowing end users or the manipulation of device operating modes to run. Adversaries may infect remote targets with programmed executables or malicious project files that operate according to specified behavior and may alter expected device behavior in subtle ways. Commands for execution may also be issued from command-line interfaces, APIs, GUIs, or other available interfaces. Techniques that run malicious code may also be paired with techniques from other tactics, particularly to aid network [Discovery](https://attack.mitre.org/tactics/TA0102) and [Collection](https://attack.mitre.org/tactics/TA0100), impact operations, and inhibit response functions.",x-mitre-tactic--93bf9a8e-b14c-4587-b6d5-9efc7c12eb45,https://attack.mitre.org/tactics/TA0104,17 October 2018,08 March 2023,ics-attack,1.0,Industrial Control Systems
