ATT&CK Technique ID,ATT&CK Technique Name,ATT&CK Technique Description,STIX ID,URL,Created,Last Modified,Domain,Version,Detection,Platforms,Data Source,Citations,Type
T0800,Activate Firmware Update Mode,"Adversaries may activate firmware update mode on devices to prevent expected response functions from engaging in reaction to an emergency or process malfunction. For example, devices such as protection relays may have an operation mode designed for firmwa",attack-pattern--19a71d1e-6334-4233-8260-b749cae37953,https://attack.mitre.org/techniques/T0800,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content, Operational Databases: Device Alarm","(Citation: Joe Slowik August 2019),(Citation: Department of Homeland Security September 2016),",Industrial Control Systems
T0801,Monitor Process State,"Adversaries may gather information about the physical process state. This information may be used to gain more information about the process itself or used as a trigger for malicious actions. The sources of process state information may vary such as, OPC ",attack-pattern--2d0d40ad-22fa-4cc8-b264-072557e1364b,https://attack.mitre.org/techniques/T0801,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content","(Citation: Industroyer2 Forescout July 2022),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),,",Industrial Control Systems
T0802,Automated Collection,"Adversaries may automate collection of industrial environment information using tools or scripts. This automated collection may leverage native control protocols and tools available in the control systems environment. For example, the OPC protocol may be ",attack-pattern--3de230d4-3e42-4041-b089-17e1128feded,https://attack.mitre.org/techniques/T0802,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Command: Command Execution, File: File Access, Network Traffic: Network Traffic Content, Script: Script Execution","(Citation: Daavid Hentunen, Antti Tikkanen June 2014),(Citation: Industroyer2 Forescout July 2022),(Citation: Anton Cherepanov, ESET June 2017),,",Industrial Control Systems
T0803,Block Command Message,"Adversaries may block a command message from reaching its intended target to prevent command execution. In OT networks, command messages are sent to provide instructions to control system devices. A blocked command message can inhibit response functions f",attack-pattern--008b8f56-6107-48be-aa9f-746f927dbb61,https://attack.mitre.org/techniques/T0803,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Flow, Operational Databases: Process History/Live Data, Operational Databases: Process/Event Alarm, Process: Process Termination","(Citation: Anton Cherepanov, ESET June 2017),(Citation: Ukraine15 - EISAC - 201603),,",Industrial Control Systems
T0804,Block Reporting Message,"Adversaries may block or prevent a reporting message from reaching its intended target. In control systems, reporting messages contain telemetry data (e.g., I/O values) pertaining to the current state of equipment and the industrial process. By blocking t",attack-pattern--3f1f4ccb-9be2-4ff8-8f69-dd972221169b,https://attack.mitre.org/techniques/T0804,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Flow, Operational Databases: Process History/Live Data, Operational Databases: Process/Event Alarm, Process: Process Termination","(Citation: Anton Cherepanov, ESET June 2017),(Citation: Ukraine15 - EISAC - 201603),,",Industrial Control Systems
T0805,Block Serial COM,Adversaries may block access to serial COM to prevent instructions or configurations from reaching target devices. Serial Communication ports (COM) allow communication with control system devices. Devices can receive command and configuration messages ove,attack-pattern--1c478716-71d9-46a4-9a53-fa5d576adb60,https://attack.mitre.org/techniques/T0805,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Flow, Operational Databases: Process History/Live Data, Operational Databases: Process/Event Alarm, Process: Process Termination","(Citation: Anton Cherepanov, ESET June 2017),(Citation: Booz Allen Hamilton),,",Industrial Control Systems
T0806,Brute Force I/O,Adversaries may repetitively or successively change I/O point values to perform an action. Brute Force I/O may be achieved by changing either a range of I/O point values or a single point value repeatedly to manipulate a process function. The adversary's ,attack-pattern--8e7089d3-fba2-44f8-94a8-9a79c53920c4,https://attack.mitre.org/techniques/T0806,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Network Traffic: Network Traffic Content, Operational Databases: Process History/Live Data","(Citation: Industroyer2 Forescout July 2022),(Citation: Anton Cherepanov, ESET June 2017),(Citation: Industroyer2 Mandiant April 2022),(Citation: Keith Stouffer May 2015),(Citation: Karen Scarfone; Paul Hoffman September 2009),(Citation: Dwight Anderson 2",Industrial Control Systems
T0807,Command-Line Interface,Adversaries may utilize command-line interfaces (CLIs) to interact with systems and execute commands. CLIs provide a means of interacting with computer systems and are a common feature across many types of platforms and devices within control systems envi,attack-pattern--24a9253e-8948-4c98-b751-8e2aee53127c,https://attack.mitre.org/techniques/T0807,21 May 2020,13 October 2023,ics-attack,1.1,,None,"Application Log: Application Log Content, Command: Command Execution, Process: Process Creation","(Citation: Nicolas Falliere, Liam O Murchu, Eric Chien February 2011),(Citation: Dragos October 2018),(Citation: Anton Cherepanov, ESET June 2017),(Citation: ESET Industroyer),,",Industrial Control Systems
T0809,Data Destruction,"Adversaries may perform data destruction over the course of an operation. The adversary may drop or create malware, tools, or other non-native files on a target system to accomplish this, potentially leaving behind traces of malicious activities. Such non",attack-pattern--493832d9-cea6-4b63-abe7-9a65a6473675,https://attack.mitre.org/techniques/T0809,21 May 2020,13 October 2023,ics-attack,1.0,,None,"Command: Command Execution, File: File Deletion, File: File Modification, Process: Process Creation","(Citation: Wylie-22),(Citation: Brubaker-Incontroller),(Citation: Anton Cherepanov),(Citation: Dragos-Pipedream),(Citation: Dragos Inc. June 2017),(Citation: National Institute of Standards and Technology April 2013),",Industrial Control Systems
T0811,Data from Information Repositories,"Adversaries may target and collect data from information repositories. This can include sensitive data such as specifications, schematics, or diagrams of control system layouts, devices, and processes. Examples of information repositories include referenc",attack-pattern--3405891b-16aa-4bd7-bd7c-733501f9b20f,https://attack.mitre.org/techniques/T0811,21 May 2020,13 October 2023,ics-attack,1.2,,None,"Application Log: Application Log Content, Logon Session: Logon Session Creation, Network Share: Network Share Access","(Citation: Symantec),(Citation: Keith Stouffer May 2015),(Citation: National Institute of Standards and Technology April 2013),",Industrial Control Systems
