CWE ID,CWE Name,Weakness Abstraction,Status,Description,Extended Description,Related Weaknesses,Weakness Ordinalities,Applicable Platforms,Background Details,Alternate Terms,Modes Of Introduction,Common Consequences,Detection Methods,Potential Mitigations,Observed Examples,Functional Areas,Affected Resources,Taxonomy Mappings,Notes,Type
287,Improper Authentication,Class,Draft,"When an actor claims to have a given identity, the product does not prove or insufficiently proves that the claim is correct.",,NATURE:ChildOf:CWE ID:284 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:284 VIEW ID:1340 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined TECHNOLOGY CLASS:ICS/OT TECHNOLOGY PREVALENCE:Often,,"TERM - authentification DESCRIPTION - An alternate term is authentification, which appears to be most commonly used by people from non-English-speaking countries. TERM - AuthN DESCRIPTION - AuthN is typically used as an abbreviation of authentication with",PHASE - Architecture and Design PHASE - Implementation: NOTE - REALIZATION: This weakness is caused during implementation of an architectural security tactic.,SCOPE - Integrity SCOPE - Confidentiality SCOPE - Availability SCOPE - Access Control IMPACT - Read Application Data IMPACT - Gain Privileges or Assume Identity IMPACT - Execute Unauthorized Code or Commands NOTE - This weakness can lead to the exposure o,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis is useful for detecting certain types of authentication. A tool may be able to analyze related configuration files, such as .htaccess in Apache web servers, or detect the usage of ",PHASE - Architecture and Design STRATEGY - Libraries or Frameworks DESCRIPTION - Use an authentication framework or library such as the OWASP ESAPI Authentication feature.,"REFERENCE - CVE-2022-35248 DESCRIPTION - Chat application skips validation when Central Authentication Service (CAS) is enabled, effectively removing the second factor from two-factor authentication LINK - https://www.cve.org/CVERecord?id=CVE-2022-35248",Authentication,,TAXONOMY NAME - PLOVER:ENTRY NAME:Authentication Error TAXONOMY NAME - OWASP Top Ten 2007:ENTRY ID:A7:ENTRY NAME:Broken Authentication and Session Management:MAPPING FIT:CWE More Specific TAXONOMY NAME - OWASP Top Ten 2004:ENTRY ID:A3:ENTRY NAME:Broken Au,"TYPE - Relationship NOTE - This can be resultant from SQL injection vulnerabilities and other issues.  TYPE - Maintenance NOTE - The Taxonomy_Mappings to ISA/IEC 62443 were added in CWE 4.10, but they are still under review and might change in future CWE ",Research Concept
330,Use of Insufficiently Random Values,Class,Stable,The product uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.,"When product generates predictable values in a context requiring unpredictability, it may be possible for an attacker to guess the next value that will be generated, and use this guess to impersonate another user or access sensitive information.",NATURE:ChildOf:CWE ID:693 VIEW ID:1000 ORDINAL:Primary NATURE:CanPrecede:CWE ID:804 VIEW ID:1000,: ORDINALITY:Primary::,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined TECHNOLOGY CLASS:Not Technology-Specific TECHNOLOGY PREVALENCE:Undetermined,"Computers are deterministic machines, and as such are unable to produce true randomness. Pseudo-Random Number Generators (PRNGs) approximate randomness algorithmically, starting with a seed from which subsequent values are calculated. There are two types ",,PHASE - Architecture and Design PHASE - Implementation: NOTE - REALIZATION: This weakness is caused during implementation of an architectural security tactic.,"SCOPE - Confidentiality SCOPE - Other IMPACT - Other NOTE - When a protection mechanism relies on random values to restrict access to a sensitive resource, such as a session ID or a seed for generating a cryptographic key, then the resource being protecte","METHOD - Black Box DESCRIPTION - Use monitoring tools that examine the software's process as it interacts with the operating system and the network. This technique is useful in cases when source code is unavailable, if the software was not developed by yo","PHASE - Architecture and Design DESCRIPTION - Use a well-vetted algorithm that is currently considered to be strong by experts in the field, and select well-tested implementations with adequate length seeds. In general, if a pseudo-random number generator",REFERENCE - CVE-2021-3692 DESCRIPTION - PHP framework uses mt_rand() function (Marsenne Twister) when generating tokens LINK - https://www.cve.org/CVERecord?id=CVE-2021-3692  REFERENCE - CVE-2020-7010 DESCRIPTION - Cloud application on Kubernetes generate,"Cryptography,Authentication,Session Management",,TAXONOMY NAME - PLOVER:ENTRY NAME:Randomness and Predictability TAXONOMY NAME - 7 Pernicious Kingdoms:ENTRY NAME:Insecure Randomness TAXONOMY NAME - OWASP Top Ten 2004:ENTRY ID:A2:ENTRY NAME:Broken Access Control:MAPPING FIT:CWE More Specific TAXONOMY NAM,"TYPE - Relationship NOTE - This can be primary to many other weaknesses such as cryptographic errors, authentication errors, symlink following, information leaks, and others.  TYPE - Maintenance NOTE - As of CWE 4.3, CWE-330 and its descendants are being ",Research Concept
208,Observable Timing Discrepancy,Base,Incomplete,"Two separate operations in a product require different amounts of time to complete, in a way that is observable to an actor and reveals security-relevant information about the state of the product, such as whether a particular operation was successful or ","In security-relevant contexts, even small variations in timing can be exploited by attackers to indirectly infer certain details about the product's internal operations. For example, in some cryptographic algorithms, attackers can use timing differences t",NATURE:ChildOf:CWE ID:203 VIEW ID:1000 ORDINAL:Primary NATURE:CanPrecede:CWE ID:385 VIEW ID:1000 NATURE:CanPrecede:CWE ID:327 VIEW ID:1000,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Architecture and Design: NOTE - COMMISSION: This weakness refers to an incorrect design related to an architectural security tactic. PHASE - Implementation PHASE - Operation,SCOPE - Confidentiality SCOPE - Access Control IMPACT - Read Application Data IMPACT - Bypass Protection Mechanism,,,"REFERENCE - CVE-2019-10071 DESCRIPTION - Java-oriented framework compares HMAC signatures using String.equals() instead of a constant-time algorithm, causing timing discrepancies LINK - https://www.cve.org/CVERecord?id=CVE-2019-10071  REFERENCE - CVE-2019","Cryptography,Authentication",,TAXONOMY NAME - PLOVER:ENTRY NAME:Timing discrepancy infoleak::,TYPE - Relationship NOTE - Often primary in cryptographic applications and algorithms.::,"Software Development,Research Concept"
325,Missing Cryptographic Step,Base,Draft,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm.",,NATURE:ChildOf:CWE ID:573 VIEW ID:1000 ORDINAL:Primary NATURE:PeerOf:CWE ID:358 VIEW ID:1000,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined TECHNOLOGY CLASS:Not Technology-Specific TECHNOLOGY PREVALENCE:Undetermined,,,"PHASE - Implementation: NOTE - Developers sometimes omit expensive (resource-intensive) steps in order to improve performance, especially in devices with limited memory or slower CPUs. This step may be taken under a mistaken impression that the step is un",SCOPE - Access Control IMPACT - Bypass Protection Mechanism  SCOPE - Confidentiality SCOPE - Integrity IMPACT - Read Application Data IMPACT - Modify Application Data  SCOPE - Accountability SCOPE - Non-Repudiation IMPACT - Hide Activities,,,REFERENCE - CVE-2001-1585 DESCRIPTION - Missing challenge-response step allows authentication bypass using public key. LINK - https://www.cve.org/CVERecord?id=CVE-2001-1585,Cryptography,,TAXONOMY NAME - PLOVER:ENTRY NAME:Missing Required Cryptographic Step TAXONOMY NAME - OWASP Top Ten 2007:ENTRY ID:A8:ENTRY NAME:Insecure Cryptographic Storage:MAPPING FIT:CWE More Specific TAXONOMY NAME - OWASP Top Ten 2007:ENTRY ID:A9:ENTRY NAME:Insecure,TYPE - Relationship NOTE - Overlaps incomplete/missing security check.  TYPE - Relationship NOTE - Can be resultant.::,"Hardware Development,Software Development,Research Concept"
407,Inefficient Algorithmic Complexity,Class,Incomplete,"An algorithm in a product has an inefficient worst-case computational complexity that may be detrimental to system performance and can be triggered by an attacker, typically using crafted manipulations that ensure that the worst case is being reached.",,NATURE:ChildOf:CWE ID:405 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,TERM - Quadratic Complexity DESCRIPTION - Used when the algorithmic complexity is related to the square of the number of inputs (N^2)::,PHASE - Architecture and Design PHASE - Implementation,"SCOPE - Availability IMPACT - DoS -  Resource Consumption (CPU) IMPACT - DoS -  Resource Consumption (Memory) IMPACT - DoS -  Resource Consumption (Other) NOTE - The typical consequence is CPU consumption, but memory consumption and consumption of other r",,,REFERENCE - CVE-2021-32617 DESCRIPTION - C++ library for image metadata has quadratic complexity issue with unnecessarily repetitive parsing each time an invalid character is encountered LINK - https://www.cve.org/CVERecord?id=CVE-2021-32617  REFERENCE -,Cryptography,,TAXONOMY NAME - PLOVER:ENTRY NAME:Algorithmic Complexity::,,Research Concept
1204,Generation of Weak Initialization Vector (IV),Base,Incomplete,"The product uses a cryptographic primitive that uses an Initialization Vector (IV), but the product does not generate IVs that are sufficiently unpredictable or unique according to the expected cryptographic requirements for that primitive.","By design, some cryptographic primitives (such as block ciphers) require that IVs must have certain properties for the uniqueness and/or unpredictability of an IV. Primitives may vary in how important these properties are. If these properties are not main",NATURE:ChildOf:CWE ID:330 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation,"SCOPE - Confidentiality IMPACT - Read Application Data NOTE - If the IV is not properly initialized, data that is encrypted can be compromised and information about the data can be leaked. See [REF-1179].",,"PHASE - Implementation DESCRIPTION - Different cipher modes have different requirements for their IVs. When choosing and implementing a mode, it is important to understand those requirements in order to keep security guarantees intact. Generally, it is sa",REFERENCE - CVE-2020-1472 DESCRIPTION - ZeroLogon vulnerability - use of a static IV of all zeroes in AES-CFB8 mode LINK - https://www.cve.org/CVERecord?id=CVE-2020-1472  REFERENCE - CVE-2011-3389 DESCRIPTION - BEAST attack in SSL 3.0 / TLS 1.0. In CBC mo,Cryptography,,,"TYPE - Maintenance NOTE - As of CWE 4.5, terminology related to randomness, entropy, and predictability can vary widely. Within the developer and other communities, randomness is used heavily. However, within cryptography, entropy is distinct, typically i","Software Development,Research Concept"
329,Generation of Predictable IV with CBC Mode,Variant,Draft,"The product generates and uses a predictable initialization Vector (IV) with Cipher Block Chaining (CBC) Mode, which causes algorithms to be susceptible to dictionary attacks when they are encrypted under the same key.",CBC mode eliminates a weakness of Electronic Code Book (ECB) mode by allowing identical plaintext blocks to be encrypted to different ciphertext blocks. This is possible by the XOR-ing of an IV with the initial plaintext block so that every plaintext bloc,NATURE:ChildOf:CWE ID:1204 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:573 VIEW ID:1000,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined TECHNOLOGY CLASS:ICS/OT TECHNOLOGY PREVALENCE:Undetermined,CBC mode is a commonly used mode of operation for a block cipher. It works by XOR-ing an IV with the initial block of a plaintext prior to encryption and then XOR-ing each successive block of plaintext with the previous block of ciphertext before encrypti,,"PHASE - Implementation: NOTE - Developers might dismiss the importance of an unpredictable IV and choose an easier implementation to save effort, weakening the scheme in the process.","SCOPE - Confidentiality IMPACT - Read Application Data NOTE - If the IV is not properly initialized, data that is encrypted can be compromised and leak information.","METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Implementation DESCRIPTION - NIST recommends two methods of generating unpredictable IVs for CBC mode [REF-1172]. The first is to generate the IV randomly. The second method is to encrypt a nonce with the same key and cipher to be used to encrypt ,"REFERENCE - CVE-2020-5408 DESCRIPTION - encryption functionality in an authentication framework uses a fixed null IV with CBC mode, allowing attackers to decrypt traffic in applications that use this functionality LINK - https://www.cve.org/CVERecord?id=C",Cryptography,,TAXONOMY NAME - CLASP:ENTRY NAME:Not using a random IV with CBC mode::,"TYPE - Maintenance NOTE - As of CWE 4.5, terminology related to randomness, entropy, and predictability can vary widely. Within the developer and other communities, randomness is used heavily. However, within cryptography, entropy is distinct, typically i",Research Concept
459,Incomplete Cleanup,Base,Draft,The product does not properly clean up and remove temporary or supporting resources after they have been used.,,NATURE:ChildOf:CWE ID:404 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:404 VIEW ID:1003 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,TERM - Insufficient Cleanup::,PHASE - Implementation,SCOPE - Other -  SCOPE - Confidentiality SCOPE - Integrity IMPACT - Other IMPACT - Read Application Data IMPACT - Modify Application Data IMPACT - DoS -  Resource Consumption (Other) NOTE - It is possible to overflow the number of temporary files because ,"METHOD - Automated Static Analysis DESCRIPTION - Automated static analysis, commonly referred to as Static Application Security Testing (SAST), can find some instances of this weakness by analyzing source code (or binary/compiled code) without having to e",PHASE - Architecture and Design Implementation DESCRIPTION - Temporary files and other supporting resources should be deleted/released immediately after they are no longer needed.,"REFERENCE - CVE-2000-0552 DESCRIPTION - World-readable temporary file not deleted after use. LINK - https://www.cve.org/CVERecord?id=CVE-2000-0552  REFERENCE - CVE-2005-2293 DESCRIPTION - Temporary file not deleted after use, leaking database usernames an",File Processing,,TAXONOMY NAME - PLOVER:ENTRY NAME:Incomplete Cleanup TAXONOMY NAME - OWASP Top Ten 2004:ENTRY ID:A10:ENTRY NAME:Insecure Configuration Management:MAPPING FIT:CWE More Specific TAXONOMY NAME - CERT C Secure Coding:ENTRY ID:FIO42-C:ENTRY NAME:Close files wh,"TYPE - Relationship NOTE - CWE-459 is a child of CWE-404 because, while CWE-404 covers any  TYPE of improper shutdown or release of a resource, CWE-459 deals specifically with a multi-step shutdown process in which a crucial step for proper cleanup is omi","Software Development,Research Concept"
434,Unrestricted Upload of File with Dangerous Type,Base,Draft,The product allows the attacker to upload or transfer files of dangerous types that can be automatically processed within the product's environment.,,NATURE:ChildOf:CWE ID:669 VIEW ID:1000 ORDINAL:Primary NATURE:ChildOf:CWE ID:669 VIEW ID:1003 ORDINAL:Primary NATURE:PeerOf:CWE ID:351 VIEW ID:1000 NATURE:PeerOf:CWE ID:436 VIEW ID:1000 NATURE:PeerOf:CWE ID:430 VIEW ID:1000,: ORDINALITY:Primary:DESCRIPTION:This can be primary when there is no check at all.: ORDINALITY:Resultant:DESCRIPTION:This is frequently resultant when use of double extensions (e.g. .php.gif) bypasses a sanity check.: ORDINALITY:Resultant:DESCRIPTION:Thi,LANGUAGE NAME:ASP.NET LANGUAGE PREVALENCE:Sometimes LANGUAGE NAME:PHP LANGUAGE PREVALENCE:Often LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined TECHNOLOGY NAME:Web Server TECHNOLOGY PREVALENCE:Sometimes,,"TERM - Unrestricted File Upload DESCRIPTION - Used in vulnerability databases and elsewhere, but it is insufficiently precise. The phrase could be interpreted as the lack of restrictions on the size or number of uploaded files, which is a resource consump",PHASE - Implementation PHASE - Architecture and Design: NOTE - OMISSION: This weakness is caused by missing a security tactic during the architecture and design phase.,SCOPE - Integrity SCOPE - Confidentiality SCOPE - Availability IMPACT - Execute Unauthorized Code or Commands NOTE - Arbitrary code execution is possible if an uploaded file is interpreted and executed as code by the recipient. This is especially true for,"METHOD - Dynamic Analysis with Automated Results Interpretation DESCRIPTION - According to SOAR, the following detection techniques may be useful  Cost effective for partial coverage  Web Application Scanner Web Services Scanner Database Scanners EFFECTIV","PHASE - Architecture and Design DESCRIPTION - Generate a new, unique filename for an uploaded file instead of using the user-supplied filename, so that no external input is used at all.[REF-422] [REF-423]  PHASE - Architecture and Design STRATEGY - Enforc",REFERENCE - CVE-2023-5227 DESCRIPTION - PHP-based FAQ management app does not check the MIME type for uploaded images LINK - https://www.cve.org/CVERecord?id=CVE-2023-5227  REFERENCE - CVE-2001-0901 DESCRIPTION - Web-based mail product stores .shtml attac,File Processing,File or Directory,TAXONOMY NAME - PLOVER:ENTRY NAME:Unrestricted File Upload TAXONOMY NAME - OWASP Top Ten 2007:ENTRY ID:A3:ENTRY NAME:Malicious File Execution:MAPPING FIT:CWE More Specific TAXONOMY NAME - OMG ASCSM:ENTRY ID:ASCSM-CWE-434::,"TYPE - Relationship NOTE - This can have a chaining relationship with incomplete denylist / permissive allowlist errors when the product tries, but fails, to properly limit which  TYPEs of files are allowed (CWE-183, CWE-184). This can also overlap multip","Software Development,Research Concept"
66,Improper Handling of File Names that Identify Virtual Resources,Base,Draft,"The product does not handle or incorrectly handles a file name that identifies a virtual resource that is not directly specified within the directory that is associated with the file name, causing the product to perform file-based operations on a resource","Virtual file names are represented like normal file names, but they are effectively aliases for other resources that do not behave like normal files. Depending on their functionality, they could be alternate entities. They are not necessarily listed in di",NATURE:ChildOf:CWE ID:706 VIEW ID:1000 ORDINAL:Primary,,LANGUAGE CLASS:Not Language-Specific LANGUAGE PREVALENCE:Undetermined,,,PHASE - Implementation PHASE - Operation,SCOPE - Other IMPACT - Other,"METHOD - Automated Static Analysis - Binary or Bytecode DESCRIPTION - According to SOAR, the following detection techniques may be useful  Cost effective for partial coverage  Bytecode Weakness Analysis - including disassembler + source code weakness anal",,"REFERENCE - CVE-1999-0278 DESCRIPTION - In IIS, remote attackers can obtain source code for ASP files by appending $DATA to the URL. LINK - https://www.cve.org/CVERecord?id=CVE-1999-0278  REFERENCE - CVE-2004-1084 DESCRIPTION - Server allows remote attack",File Processing,File or Directory,TAXONOMY NAME - PLOVER:ENTRY NAME:Virtual Files::,,"Software Development,Research Concept"
