CCI ID,Description,NIST Revision,Type
CCI-000002,"Disseminate the organization-level; mission/business process-level; and/or system-level access control policy that addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance to organization-defined personnel or roles.",NIST SP 800-53 Revision 5,Policy
CCI-000003,Review and update the current access control policy for organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000005,Disseminate procedures to facilitate the implementation of the organization-level; mission/business process-level; and/or system-level access control policy and associated access controls to the organization-defined personnel or roles.,NIST SP 800-53 Revision 5,Policy
CCI-000006,Review and update the current access control procedures for organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000010,Require approvals by organization-defined personnel or roles for requests to create accounts.,NIST SP 800-53 Revision 5,Policy
CCI-000011,"Create, enable, modify, disable, and remove system accounts in accordance with organization-defined procedures.",NIST SP 800-53 Revision 5,Policy
CCI-000012,Review accounts for compliance with account management requirements per organization-defined frequency.,NIST SP 800-53 Revision 5,Policy
CCI-000015,Support the management of system accounts using (organization-defined automated mechanisms).,NIST SP 800-53 Revision 5,Technical
CCI-000016,Automatically remove or disable temporary and emergency accounts after an organization-defined time-period for each type of account.,NIST SP 800-53 Revision 5,Technical
CCI-000017,Disable accounts when the accounts have been inactive for the organization-defined time-period.,NIST SP 800-53 Revision 5,Technical
CCI-000018,Automatically audit account creation actions.,NIST SP 800-53 Revision 5,Technical
CCI-000019,Require that users log out in accordance with the organization-defined time-period of expected inactivity or description of when to log out.,NIST SP 800-53 Revision 5,Policy
CCI-000021,Enforce dual authorization for organization-defined privileged commands and/or other organization-defined actions.,NIST SP 800-53 Revision 5,Technical
CCI-000024,"Prevent access to organization-defined security-relevant information except during secure, non-operable system states.",NIST SP 800-53 Revision 5,Technical
CCI-000026,Use protected processing domains to enforce organization-defined information flow control policies as a basis for flow control decisions.,NIST SP 800-53 Revision 5,Technical
CCI-000027,Enforce organization-defined information flow control policies.,NIST SP 800-53 Revision 5,Technical
CCI-000028,Prevent encrypted information from bypassing organization-defined flow control mechanisms by employing organization-defined procedures or methods.,NIST SP 800-53 Revision 5,Policy
CCI-000029,Enforce organization-defined limitations on embedding data types within other data types.,NIST SP 800-53 Revision 5,Technical
CCI-000030,Enforce information flow control based on organization-defined metadata.,NIST SP 800-53 Revision 5,Technical
CCI-000031,Enforce one-way information flows using hardware-based flow control mechanisms.,NIST SP 800-53 Revision 5,Technical
CCI-000032,Enforce information flow control using organization-defined security policy filters as a basis for flow control decisions for organization-defined information flows.,NIST SP 800-53 Revision 5,Technical
CCI-000034,Provide the capability for privileged administrators to enable and disable organization-defined security or privacy filters under organization-defined conditions.,NIST SP 800-53 Revision 5,Technical
CCI-000035,Provide the capability for privileged administrators to configure the organization-defined security or privacy policy filters to support different security or privacy policies.,NIST SP 800-53 Revision 5,Technical
CCI-000039,"Require that users of system accounts, or roles, with access to organization-defined security functions or security-relevant information, use non-privileged accounts or roles, when accessing nonsecurity functions.",NIST SP 800-53 Revision 5,Policy
