ISO 27001 ID,ISO 27002 ID,Security Control Type,Security Control Name,Security Control Description,Security Control Purpose,Guidance,Other Information,Type,Phase
A.5.1,5.1,Organizational controls,Policies for information security,"Information security policy and topic-specific policies shall be defined, approved by management, published, communicated to and acknowledged by relevant personnel and relevant interested parties, and reviewed at planned intervals and if significant changes occur.","To ensure continuing suitability, adequacy, effectiveness of management direction and support for information security in accordance with business, legal, statutory, regulatory and contractual requirements.","At the highest level, the organization should define an “information security policy” which is approved by top management and which sets out the organization’s approach to managing its information security. 
 
The information security policy should take into consideration requirements derived from: 
a) business strategy and requirements; 
b) regulations, legislation and contracts; 
c) the current and projected information security risks and threats. 
 
The information security policy should contain statements concerning: 
a) definition of information security; 
b) information security objectives or the framework for setting information security objectives; 
c) principles to guide all activities relating to information security; 
d) commitment to satisfy applicable requirements related to information security; 
e) commitment to continual improvement of the information security management system; 
f) assignment of responsibilities for information security management to defined roles; 
g) procedures for handling exemptions and exceptions. 
 
Top management should approve any changes to the information security policy. 
 
At a lower level, the information security policy should be supported by topic-specific policies as needed, to further mandate the implementation of information security controls. Topic-specific policies are typically structured to address the needs of certain target groups within an organization or to cover certain security areas. Topic-specific policies should be aligned with and complementary to the information security policy of the organization. 
 
Examples of such topics include: 
a) access control; 
b) physical and environmental security; 
c) asset management; 
d) information transfer; 
e) secure configuration and handling of user endpoint devices; 
f) networking security; 
g) information security incident management; 
h) backup; 
i) cryptography and key management; 
j) information classification and handling; 
k) management of technical vulnerabilities; 
l) secure development. 
 
The responsibility for the development, review and approval of the topic-specific policies should be allocated to relevant personnel based on their appropriate level of authority and technical competency. The review should include assessing opportunities for improvement of the organization’s information security policy and topic-specific policies and managing information security in response to changes to: 
a) the organization’s business strategy; 
b) the organization’s technical environment; 
c) regulations, statutes, legislation and contracts; 
d) information security risks; 
e) the current and projected information security threat environment; 
f) lessons learned from information security events and incidents. 
 
The review of information security policy and topic-specific policies should take the results of management reviews and audits into account. Review and update of other related policies should be considered when one policy is changed to maintain consistency. 
 
The information security policy and topic-specific policies should be communicated to relevant personnel and interested parties in a form that is relevant, accessible and understandable to the intended reader. Recipients of the policies should be required to acknowledge they understand and agree to comply with the policies where applicable. The organization can determine the formats and names of these policy documents that meet the organization’s needs. In some organizations, the information security policy and topic-specific policies can be in a single document. The organization can name these topic-specific policies as standards, directives, policies or others. 
 
If the information security policy or any topic-specific policy is distributed outside the organization, care should be taken not to improperly disclose confidential information.",Topic-specific policies can vary across organizations.,Preventive,Identify
A.5.2,5.2,Organizational controls,Information security roles and responsibilities,Information security roles and responsibilities shall be defined and allocated according to the organization needs.,"To establish a defined, approved and understood structure for the implementation, operation and management of information security within the organization.","Allocation of information security roles and responsibilities should be done in accordance with the information security policy and topic-specific policies (see 5.1). 
 
The organization should define and manage responsibilities for: 
a) protection of information and other associated assets; 
b) carrying out specific information security processes; 
c) information security risk management activities and in particular acceptance of residual risks (e.g. to risk owners); 
d) all personnel using an organization’s information and other associated assets. 
 
These responsibilities should be supplemented, where necessary, with more detailed guidance for specific sites and information processing facilities. Individuals with allocated information security responsibilities can assign security tasks to others. However, they remain accountable and should determine that any delegated tasks have been correctly performed. 
 
Each security area for which individuals are responsible should be defined, documented and communicated. Authorization levels should be defined and documented. Individuals who take on a specific information security role should be competent in the knowledge and skills required by the role and should be supported to keep up to date with developments related to the role and required in order to fulfil the responsibilities of the role.","Many organizations appoint an information security manager to take overall responsibility for the development and implementation of information security and to support the identification of risks and mitigating controls. 
 
However, responsibility for resourcing and implementing the controls often remains with individual managers. One common practice is to appoint an owner for each asset who then becomes responsible for its day-to-day protection. 
 
Depending on the size and resourcing of an organization, information security can be covered by dedicated roles or duties carried out in addition to existing roles.",Preventive,Identify
A.5.3,5.3,Organizational controls,Segregation of duties,Conflicting duties and conflicting areas of responsibility shall be segregated.,"To reduce the risk of fraud, error and bypassing of information security controls.","Segregation of duties and areas of responsibility aims to separate conflicting duties between different individuals in order to prevent one individual from executing potential conflicting duties on their own. 
 
The organization should determine which duties and areas of responsibility need to be segregated. The following are examples of activities that can require segregation: 
a) initiating, approving and executing a change; 
b) requesting, approving and implementing access rights; 
c) designing, implementing and reviewing code; 
d) developing software and administering production systems; 
e) using and administering applications; 
f) using applications and administering databases; g) designing, auditing and assuring information security controls. 
 
The possibility of collusion should be considered in designing the segregation controls. Small organizations can find segregation of duties difficult to achieve, but the principle should be applied as far as is possible and practicable. Whenever it is difficult to segregate, other controls should be considered, such as monitoring of activities, audit trails and management supervision. 
 
Care should be taken when using role-based access control systems to ensure that persons are not granted conflicting roles. When there is a large number of roles, the organization should consider using automated tools to identify conflicts and facilitate their removal. Roles should be carefully defined and provisioned to minimize access problems if a role is removed or reassigned.",No other information.,Preventive,Protect
A.5.4,5.4,Organizational controls,Management responsibilities,"Management shall require all personnel to apply information security in accordance with the established information security policy, topic-specific policies and procedures of the organization.",To ensure management understand their role in information security and undertake actions aiming to ensure all personnel are aware of and fulfil their information security responsibilities.,"Management should demonstrate support of the information security policy, topic-specific policies, procedures and information security controls. 
 
Management responsibilities should include ensuring that personnel: 
a) are properly briefed on their information security roles and responsibilities prior to being granted access to the organization’s information and other associated assets; 
b) are provided with guidelines which state the information security expectations of their role within the organization; 
c) are mandated to fulfil the information security policy and topic-specific policies of the organization; 
d) achieve a level of awareness of information security relevant to their roles and responsibilities within the organization (see 6.3); 
e) compliance with the terms and conditions of employment, contract or agreement, including the organization’s information security policy and appropriate methods of working; 
f) continue to have the appropriate information security skills and qualifications through ongoing professional education; 
g) where practicable, are provided with a confidential channel for reporting violations of information security policy, topic-specific policies or procedures for information security (“whistleblowing”). This can allow for anonymous reporting, or have provisions to ensure that knowledge of the identity of the reporter is known only to those who need to deal with such reports; 
h) are provided with adequate resources and project planning time for implementing the organization’s security-related processes and controls.",No other information.,Preventive,Identify
A.5.5,5.5,Organizational controls,Contact with authorities,The organization shall establish and maintain contact with relevant authorities.,"To ensure appropriate flow of information takes place with respect to information security between the organization and relevant legal, regulatory and supervisory authorities.","The organization should specify when and by whom authorities (e.g. law enforcement, regulatory bodies, supervisory authorities) should be contacted and how identified information security incidents should be reported in a timely manner. 
 
Contacts with authorities should also be used to facilitate the understanding about the current and upcoming expectations of these authorities (e.g. applicable information security regulations).","Organizations under attack can request authorities to take action against the attack source. 
 
Maintaining such contacts can be a requirement to support information security incident management (see 5.24 to 5.28) or the contingency planning and business continuity processes (see 5.29 and 5.30). Contacts with regulatory bodies are also useful to anticipate and prepare for upcoming changes in relevant laws or regulations that affect the organization. Contacts with other authorities include utilities, emergency services, electricity suppliers and health and safety [e.g. fire departments (in connection with business continuity), telecommunication providers (in connection with line routing and availability) and water suppliers (in connection with cooling facilities for equipment)].","Preventive,Corrective","Identify,Protect,Respond,Recover"
A.5.6,5.6,Organizational controls,Contact with special interest groups,The organization shall establish and maintain contact with special interest groups or other specialist security forums and professional associations.,To ensure appropriate flow of information takes place with respect to information security.,"Membership of special interest groups or forums should be considered as a means to: 
a) improve knowledge about best practices and stay up to date with relevant security information; 
b) ensure the understanding of the information security environment is current; 
c) receive early warnings of alerts, advisories and patches pertaining to attacks and vulnerabilities; 
d) gain access to specialist information security advice; 
e) share and exchange information about new technologies, products, services, threats or vulnerabilities; 
f) provide suitable liaison points when dealing with information security incidents (see 5.24 to 5.28).",No other information.,"Preventive,Corrective","Protect,Respond,Recover"
A.5.7,5.7,Organizational controls,Threat intelligence,Information relating to information security threats shall be collected and analysed to produce threat intelligence.,To provide awareness of the organization’s threat environment so that the appropriate mitigation actions can be taken.,"Information about existing or emerging threats is collected and analyzed in order to: 
a) facilitate informed actions to prevent the threats from causing harm to the organization; 
b) reduce the impact of such threats. 
 
Threat intelligence can be divided into three layers, which should all be considered: 
a) strategic threat intelligence: exchange of high-level information about the changing threat landscape (e.g. types of attackers or types of attacks); 
b) tactical threat intelligence: information about attacker methodologies, tools and technologies involved; 
c) operational threat intelligence: details about specific attacks, including technical indicators. 
 
Threat intelligence should be: 
a) relevant (i.e. related to the protection of the organization); 
b) insightful (i.e. providing the organization with an accurate and detailed understanding of the threat landscape); 
c) contextual, to provide situational awareness (i.e. adding context to the information based on the time of events, where they occur, previous experiences and prevalence in similar organizations); 
d) actionable (i.e. the organization can act on information quickly and effectively). 
 
Threat intelligence activities should include: 
a) establishing objectives for threat intelligence production; 
b) identifying, vetting and selecting internal and external information sources that are necessary and appropriate to provide information required for the production of threat intelligence; 
c) collecting information from selected sources, which can be internal and external; 
d) processing information collected to prepare it for analysis (e.g. by translating, formatting or corroborating information); 
e) analyzing information to understand how it relates and is meaningful to the organization; 
f) communicating and sharing it to relevant individuals in a format that can be understood. 
 
Threat intelligence should be analyzed and later used: 
a) by implementing processes to include information gathered from threat intelligence sources into the organization’s information security risk management processes; 
b) as additional input to technical preventive and detective controls like firewalls, intrusion detection system, or anti malware solutions; 
c) as input to the information security test processes and techniques. 
 
The organization should share threat intelligence with other organizations on a mutual basis in order to improve overall threat intelligence.","Organizations can use threat intelligence to prevent, detect, or respond to threats. 
 
Organizations can produce threat intelligence, but more typically receive and make use of threat intelligence produced by other sources. 
 
Threat intelligence is often provided by independent providers or advisors, government agencies or collaborative threat intelligence groups. The effectiveness of controls such as 5.25, 8.7, 8.16 or 8.23, depends on the quality of available threat intelligence.","Preventive,Detective,Corrective","Identify,Detect,Respond"
A.5.8,5.8,Organizational controls,Information security in project management,Information security shall be integrated into project management.,To ensure information security risks related to projects and deliverables are effectively addressed in project management throughout the project life cycle.,"Information security should be integrated into project management to ensure information security risks are addressed as part of the project management. This can be applied to any type of project regardless of its complexity, size, duration, discipline or application area (e.g. a project for a core business process, ICT, facility management or other supporting processes). The project management in use should require that: a) information security risks are assessed and treated at an early stage and periodically as part of project risks throughout the project life cycle; b) information security requirements [e.g. application security requirements (8.26), requirements for complying with intellectual property rights (5.32), etc.] are addressed in the early stages of projects; c) information security risks associated with the execution of projects, such as security of internal and external communication aspects are considered and treated throughout the project life cycle; d) progress on information security risk treatment is reviewed and effectiveness of the treatment is evaluated and tested. The appropriateness of the information security considerations and activities should be followed up at predefined stages by suitable persons or governance bodies, such as the project steering committee. Responsibilities and authorities for information security relevant to the project should be defined and allocated to specified roles. Information security requirements for products or services to be delivered by the project should be determined using various methods, including deriving compliance requirements from information security policy, topic-specific policies and regulations. Further information security requirements can be derived from activities such as threat modelling, incident reviews, use of vulnerability thresholds or contingency planning, thus ensuring that the architecture and design of information systems are protected against known threats based on the operational environment. Information security requirements should be determined for all types of projects, not only ICT development projects. The following should also be considered when determining these requirements: a) what information is involved (information determination), what are the corresponding information security needs (classification; see 5.12) and the potential negative business impact which can result from lack of adequate security; b) the required protection needs of information and other associated assets involved, particularly in terms of confidentiality, integrity and availability; c) the level of confidence or assurance required towards the claimed identity of entities in order to derive the authentication requirements; d) access provisioning and authorization processes, for customers and other potential business users as well as for privileged or technical users such as relevant project members, potential operation staff or external suppliers; e) informing users of their duties and responsibilities; f) requirements derived from business processes, such as transaction logging and monitoring, nonrepudiation requirements; g) requirements mandated by other information security controls (e.g. interfaces to logging and monitoring or data leakage detection systems); h) compliance with the legal, statutory, regulatory and contractual environment in which the organization operates; i) level of confidence or assurance required for third parties to meet the organization’s information security policy and topic-specific policies including relevant security clauses in any agreements or contracts.","The project development approach, such as waterfall life cycle or agile life cycle, should support information security in a structured way that can be adapted to suit the assessed severity of the information security risks, based on the character of the project. Early consideration of information security requirements for the product or service (e.g. at the planning and design stages), can lead to more effective and cost-efficient solutions for quality and information security. ISO 21500 and ISO 21502 provide guidance on concepts and processes of project management that are important for the performance of projects. ISO/IEC 27005 provides guidance on the use of risk management processes to identify controls to meet information security requirements.",Preventive,"Identify,Protect"
A.5.9,5.9,Organizational controls,Inventory of information and other associated assets,"An inventory of information and other associated assets, including owners, shall be developed and maintained.",To identify the organization’s information and other associated assets in order to preserve their information security and assign appropriate ownership. ﻿,"Inventory The organization should identify its information and other associated assets and determine their importance in terms of information security. Documentation should be maintained in dedicated or existing inventories as appropriate. The inventory of information and other associated assets should be accurate, up to date, consistent and aligned with other inventories. Options for ensuring accuracy of an inventory of information and other associated assets include: a) conducting regular reviews of identified information and other associated assets against the asset inventory; b) automatically enforcing an inventory update in the process of installing, changing or removing an asset. The location of an asset should be included in the inventory as appropriate. The inventory does not need to be a single list of information and other associated assets. Considering that the inventory should be maintained by the relevant functions, it can be seen as a set of dynamic inventories, such as inventories for information assets, hardware, software, virtual machines (VMs), facilities, personnel, competence, capabilities and records. Each asset should be classified in accordance with the classification of the information (see 5.12) associated to that asset. The granularity of the inventory of information and other associated assets should be at a level appropriate for the needs of the organization. Sometimes specific instances of assets in the information life cycle are not feasible to be documented due to the nature of the asset. An example of a short-lived asset is a VM instance whose life cycle can be of short duration. Ownership For the identified information and other associated assets, ownership of the asset should be assigned to an individual or a group and the classification should be identified (see 5.12, 5.13). A process to ensure timely assignment of asset ownership should be implemented. Ownership should be assigned when assets are created or when assets are transferred to the organization. Asset ownership should be reassigned as necessary when current asset owners leave or change job roles. Owner duties The asset owner should be responsible for the proper management of an asset over the whole asset life cycle, ensuring that: a) information and other associated assets are inventoried; b) information and other associated assets are appropriately classified and protected; c) the classification is reviewed periodically; d) components supporting technology assets are listed and linked, such as database, storage, software components and sub-components; e) requirements for the acceptable use of information and other associated assets (see 5.10) are established; f) access restrictions correspond with the classification and that they are effective and are reviewed periodically; g) information and other associated assets, when deleted or disposed, are handled in a secure manner and removed from the inventory; h) they are involved in the identification and management of risks associated with their asset(s); i) they support personnel who have the roles and responsibilities of managing their information.","Inventories of information and other associated assets are often necessary to ensure the effective protection of information and can be required for other purposes, such as health and safety, insurance or financial reasons. Inventories of information and other associated assets also support risk management, audit activities, vulnerability management, incident response and recovery planning. Tasks and responsibilities can be delegated (e.g. to a custodian looking after the assets on a daily basis), but the person or group who delegated them remains accountable. It can be useful to designate groups of information and other associated assets which act together to provide a particular service. In this case, the owner of this service is accountable for the delivery of the service, including the operation of its assets. See ISO/IEC 19770-1 for additional information on information technology (IT) asset management. See ISO 55001 for additional information on asset management.",Preventive,Identify
A.5.10,5.10,Organizational controls,Acceptable use of information and other associated assets,"Rules for the acceptable use and procedures for handling information and other associated assets shall be identified, documented and implemented.","To ensure information and other associated assets are appropriately protected, used and handled.",Personnel and external party users using or having access to the organization’s information and other associated assets should be made aware of the information security requirements for protecting and handling the organization’s information and other associated assets. They should be responsible for their use of any information processing facilities. The organization should establish a topic-specific policy on the acceptable use of information and other associated assets and communicate it to anyone who uses or handles information and other associated assets. The topic-specific policy on acceptable use should provide clear direction on how individuals are expected to use information and other associated assets. The topic-specific policy should state: a) expected and unacceptable behaviors of individuals from an information security perspective; b) permitted and prohibited use of information and other associated assets; c) monitoring activities being performed by the organization. Acceptable use procedures should be drawn up for the full information life cycle in accordance with its classification (see 5.12) and determined risks. The following items should be considered: a) access restrictions supporting the protection requirements for each level of classification; b) maintenance of a record of the authorized users of information and other associated assets; c) protection of temporary or permanent copies of information to a level consistent with the protection of the original information; d) storage of assets associated with information in accordance with manufacturers’ specifications (see 7.8); e) clear marking of all copies of storage media (electronic or physical) for the attention of the authorized recipient (see 7.10); f) authorization of disposal of information and other associated assets and supported deletion method(s) (see 8.10).,"It can be the case that the assets concerned do not directly belong to the organization, such as public cloud services. The use of such third-party assets and any assets of the organization associated with such external assets (e.g. information, software) should be identified as applicable and controlled, for example, through agreements with cloud service providers. Care should also be taken when a collaborative working environment is used.",Preventive,Protect
