Resilience Approach Name,Resilience Approach Definition,Resilience Approach Description,Resilience Approach Discussion,Resilience Technique Name
Trust-Based Usage Restriction,,,,
Standard practice,,,,
Adaptive Management,Change how mechanisms are used based on changes in the operational environment as well as changes in the threat environment.,Change in response to change.,Manage how mechanisms can be used based on changes in the operational environment as well as changes in the threat environment.,Adaptive Response
Dynamic Reconfiguration,"Make changes to individual systems, system elements, components, or sets of resources to change functionality or behavior without interrupting service.",Change how resources are – or can be – used.,Reconfiguration needs to be executed without significantly degrading or interrupting service.,Adaptive Response
Dynamic Resource Allocation,Change the allocation of resources to tasks or functions without terminating critical functions or processes.,Change how much of a resource can be used.,Reallocate resources to tasks or functions without terminating critical functions or processes.,Adaptive Response
Architectural Diversity,"Use multiple sets of technical standards, different technologies, and different architectural patterns.",Use different technical architectures.,"An organization can use, for example, both Windows and Linux. An organization’s cloud strategy can involve multiple cloud infrastructures.",Diversity
Design Diversity,Use different designs within a given architecture to meet the same requirements or provide equivalent functionality.,Provide multiple ways to meet requirements.,"Within the context of a given architecture, parallel design teams can solve the same problem in different ways, thus producing different attack surfaces.",Diversity
Information Diversity,Provide information from different sources or transform information in different ways.,Use multiple sources for the same information.,Use of information from different sources can reveal adversary injection or modification.,Diversity
Path Diversity,"Provide multiple independent paths for command, control, and communications.",Do not rely on a single mode of communication.,"In particular, ensure alternative lines of communications for incident response and for continuity of an organization’s essential functions.",Diversity
Supply Chain Diversity,Use multiple independent supply chains for critical components.,Look for ways to avoid relying on a single supply chain.,Determine when and how to use supply chain diversity as part of the organization’s supply chain risk management (SCRM) strategy. Note that the use of shared libraries and common components can make supply chain diversity more apparent than real.,Diversity
Synthetic Diversity,Transform implementations of software to produce a variety of instances.,Use automation to tweak software implementations.,"For example, use randomizing compilers or address space layout randomization",Diversity
Asset Mobility,Securely move physical resources.,Don’t pin your physical resource down.,This approach is applicable to cyber-physical and tactical systems.,Dynamic Positioning
Distributed Functionality,Decompose a function or application into smaller functions and distribute those functions across multiple components.,Use fine-grained control of resource use.,Distributed functionality can be used with micro-segmentation and ZTA.,Dynamic Positioning
Fragmentation,Partition information and distribute it across multiple components.,Create an information jigsaw puzzle.,"Manage fragmented data to ensure its ongoing quality, minimize its exposure, and minimize performance inefficiencies.",Dynamic Positioning
Functional Relocation of Cyber Resources,"Change the location of cyber resources that provide functionality or information, either by moving the assets or by transferring functional responsibility.",Keep your cyber resources moving.,Make the adversary’s discovery and network mapping efforts go stale quickly.,Dynamic Positioning
Functional Relocation of Sensors,Relocate sensors or reallocate responsibility for specific sensing tasks to look for indicators of adverse events.,Keep your eyes moving.,Relocating sensors compensates for blind spots and makes it harder for an adversary to hide.,Dynamic Positioning
Attribute-Based Usage Restriction,"Define, assign, maintain, and apply usage restrictions on cyber resources based on the criticality of missions or business functions and other attributes (e.g., data sensitivity).",Restrict use narrowly.,Avoid treating a system or an application as a Swiss Army knife.,Privilege Restriction
Dynamic Privileges,"Elevate or decrease privileges assigned to a user, process, or service based on transient or contextual factors.",Make privileges context-sensitive.,Make access and usage decisions based on the current state and recent history.,Privilege Restriction
Trust-Based Privilege Management,"Define, assign, and maintain privileges based on established trust criteria consistent with principles of least privilege.",Apply principles of least privilege.,"Separate roles and responsibilities, use dual authorization.",Privilege Restriction
Behavior Validation,"Validate the behavior of a system, service, device, or individual user against defined or emergent criteria (e.g., requirements, patterns of prior usage).",Validate behavior against defined or emergent criteria.,Learn what’s normal and what’s suspicious. Coordinate with insider threat mitigation.,Substantiated Integrity
Integrity Checks,"Apply and validate checks of the integrity or quality of information, components, or services, to guard against surreptitious modification.",Check for modifications to data and software.,"Integrity checks can be applied to information, metadata, components, or services.",Substantiated Integrity
Provenance Tracking,"Identify and track the provenance of data, software, or hardware elements.",Verify the source of what you depend on.,Make provenance tracking part of SCRM.,Substantiated Integrity
