Junction ID,Resiliency Approach Name,CSA ID
1,Misdirection,
2,Tainting,
3,Evolvability,
4,Trust-Based Privilege Management,CSA-01
5,Attribute-Based Usage Restriction,CSA-01
6,Dynamic Privileges,CSA-01
7,Predefined Segmentation,CSA-01
8,Dynamic Segmentation and Isolation,CSA-01
9,Integrity Checks,CSA-01
10,Behavior Validation,CSA-01
11,Obfuscation,CSA-02
12,Functional Relocation of Sensors,CSA-02
13,Functional Relocation of Cyber Resources,CSA-02
14,Asset Mobility,CSA-02
15,Fragmentation,CSA-02
16,Distributed Functionality,CSA-02
17,Non-Persistent Information,CSA-02
18,Non-Persistent Services,CSA-02
19,Non-Persistent Connectivity,CSA-02
20,Predefined Segmentation,CSA-02
21,Dynamic Segmentation and Isolation,CSA-02
22,Temporal Unpredictability,CSA-02
23,Contextual Unpredictability,CSA-02
24,Calibrated Defense-in-Depth,CSA-03
25,Orchestration,CSA-03
26,Obfuscation,CSA-03
27,Functional Relocation of Cyber Resources,CSA-03
28,Asset Mobility,CSA-03
29,Distributed Functionality,CSA-03
30,Non-Persistent Services,CSA-03
31,Non-Persistent Connectivity,CSA-03
32,Trust-Based Privilege Management,CSA-03
33,Attribute-Based Usage Restriction,CSA-03
34,Dynamic Privileges,CSA-03
35,Offloading,CSA-03
36,Surplus Capacity,CSA-03
37,Replication,CSA-03
38,Predefined Segmentation,CSA-03
39,Integrity Checks,CSA-03
40,Provenance Tracking,CSA-03
41,Behavior Validation,CSA-03
42,Self-Challenge,CSA-04
43,Obfuscation,CSA-04
44,Disinformation,CSA-04
45,Functional Relocation of Cyber Resources,CSA-04
46,Asset Mobility,CSA-04
47,Fragmentation,CSA-04
48,Distributed Functionality,CSA-04
49,Non-Persistent Information,CSA-04
50,Trust-Based Privilege Management,CSA-04
51,Attribute-Based Usage Restriction,CSA-04
52,Dynamic Privileges,CSA-04
53,Predefined Segmentation,CSA-04
54,Integrity Checks,CSA-04
55,Dynamic Reconfiguration,CSA-05
56,Dynamic Resource Allocation,CSA-05
57,Adaptive Management,CSA-05
58,Sensor Fusion and Analysis,CSA-05
59,Dynamic Resource Awareness,CSA-05
