Junction ID,Security Control ID,800-172
1,AC-03-02,03.01.1e
2,AU-09-05,03.01.1e
3,CM-05-04,03.01.1e
4,CP-09-07,03.01.1e
5,MP-06-07,03.01.1e
6,AC-20-03,03.01.2e
7,AC-04-00,03.01.3e
8,AC-04-01,03.01.3e
9,AC-04-06,03.01.3e
10,AC-04-08,03.01.3e
11,AC-04-12,03.01.3e
12,AC-04-13,03.01.3e
13,AC-04-15,03.01.3e
14,AT-02-00,03.02.1e
15,AT-02-03,03.02.1e
16,AT-02-04,03.02.1e
17,AT-02-05,03.02.1e
18,AT-02-06,03.02.1e
19,AT-02-01,03.02.2e
20,AT-06-00,03.02.2e
21,CM-02-00,03.04.1e
22,CM-03-00,03.04.1e
23,CM-08-00,03.04.1e
24,SI-14-01,03.04.1e
25,CM-02-00,03.04.2e
26,CM-03-00,03.04.2e
27,CM-03-05,03.04.2e
28,CM-03-08,03.04.2e
29,CM-02-02,03.04.3e
30,CM-08-02,03.04.3e
31,IA-02-08,03.05.1e
32,IA-03-01,03.05.1e
33,IA-05-18,03.05.2e
34,CM-08-03,03.05.3e
35,IA-03-04,03.05.3e
36,SI-04-22,03.05.3e
37,IR-04-14,03.06.1e
38,IR-04-11,03.06.2e
39,IR-07-00,03.06.2e
40,PS-03-00,03.09.1e
41,SA-21-00,03.09.1e
42,PS-03-00,03.09.2e
43,SA-21-00,03.09.2e
44,PM-16-00,03.11.1e
45,PM-16-01,03.11.1e
46,RA-03-03,03.11.1e
47,RA-10-00,03.11.2e
48,SI-04-24,03.11.2e
49,RA-03-04,03.11.3e
50,SI-04-24,03.11.3e
51,AC-04-00,03.11.4e
52,CA-03-00,03.11.4e
53,CM-08-00,03.11.4e
54,PL-02-00,03.11.4e
55,PL-08-00,03.11.4e
56,SC-07-00,03.11.4e
57,RA-03-00,03.11.5e
58,RA-03-03,03.11.5e
59,RA-03-00,03.11.6e
60,RA-03-01,03.11.6e
61,SR-02-00,03.11.7e
62,CA-08-00,03.12.1e
63,SR-06-01,03.12.1e
64,PL-08-00,03.13.1e
65,SA-17-09,03.13.1e
66,SC-27-00,03.13.1e
67,SC-29-00,03.13.1e
68,SC-29-01,03.13.1e
69,SC-47-00,03.13.1e
70,SC-30-02,03.13.2e
71,SC-08-04,03.13.3e
72,SC-26-00,03.13.3e
73,SC-30-00,03.13.3e
74,SC-30-02,03.13.3e
75,SI-20-00,03.13.3e
76,SC-07-00,03.13.4e
77,SC-07-13,03.13.4e
78,SC-07-21,03.13.4e
79,SC-07-22,03.13.4e
80,SC-25-00,03.13.4e
81,SC-30-03,03.13.5e
82,SI-07-06,03.14.1e
83,SI-07-09,03.14.1e
84,SI-07-10,03.14.1e
85,AU-06-06,03.14.2e
86,SI-04-04,03.14.2e
87,SI-04-07,03.14.2e
88,SI-04-11,03.14.2e
89,SI-04-13,03.14.2e
90,SI-04-18,03.14.2e
91,SI-04-19,03.14.2e
92,SI-04-20,03.14.2e
93,AC-03-00,03.14.3e
94,AC-04-00,03.14.3e
95,SA-08-00,03.14.3e
96,SC-02-00,03.14.3e
97,SC-03-00,03.14.3e
98,SC-49-00,03.14.3e
99,SI-14-00,03.14.4e
100,SI-14-01,03.14.4e
101,SI-14-02,03.14.4e
102,SI-14-03,03.14.4e
103,SC-28-02,03.14.5e
104,SI-14-02,03.14.5e
105,PM-16-01,03.14.6e
106,SI-04-24,03.14.6e
107,SI-05-00,03.14.6e
108,SA-17-00,03.14.7e
