Junction ID,ATT&CK Technique,Security Control ID,ATT&CK Technique Name,Control Family,Control Name,Mapping Type,Reference Source,ATT&CK Version,Domain,Creation Date,Last Update
1,T1608.006,,SEO Poisoning,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
2,T1608.005,,Link Target,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
3,T1608.004,,Drive-by Target,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
4,T1608.003,,Install Digital Certificate,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
5,T1608.002,,Upload Tool,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
6,T1608.001,,Upload Malware,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
7,T1608,,Stage Capabilities,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
8,T1594,,Search Victim-Owned Websites,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
9,T1593.002,,Search Engines,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
10,T1593.001,,Social Media,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
11,T1596.005,,Scan Databases,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
12,T1596.004,,CDNs,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
13,T1596.003,,Digital Certificates,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
14,T1596.002,,WHOIS,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
15,T1596.001,,DNS/Passive DNS,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
16,T1596,,Search Open Technical Databases,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
17,T1597.002,,Purchase Technical Data,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
18,T1597.001,,Threat Intel Vendors,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
19,T1597,,Search Closed Sources,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
20,T1588.006,,Vulnerabilities,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
21,T1588.005,,Exploits,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
22,T1588.004,,Digital Certificates,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
23,T1588.003,,Code Signing Certificates,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
24,T1588.002,,Tool,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
25,T1588.001,,Malware,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
26,T1588,,Obtain Capabilities,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
27,T1591.004,,Identify Roles,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
28,T1591.003,,Identify Business Tempo,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
29,T1591.002,,Business Relationships,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
30,T1591.001,,Determine Physical Locations,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
31,T1591,,Gather Victim Org Information,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
32,T1590.006,,Network Security Appliances,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
33,T1590.005,,IP Addresses,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
34,T1590.004,,Network Topology,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
35,T1590.003,,Network Trust Dependencies,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
36,T1590.002,,DNS,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
37,T1590.001,,Domain Properties,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
38,T1590,,Gather Victim Network Information,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
39,T1589.003,,Employee Names,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
40,T1589.002,,Email Addresses,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
41,T1589.001,,Credentials,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
42,T1589,,Gather Victim Identity Information,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
43,T1592.004,,Client Configurations,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
44,T1592.003,,Firmware,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
45,T1592.002,,Software,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
46,T1592.001,,Hardware,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
47,T1592,,Gather Victim Host Information,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
48,T1585.003,,Cloud Accounts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
49,T1585.002,,Email Accounts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
50,T1585.001,,Social Media Accounts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
51,T1585,,Establish Accounts,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
52,T1587.004,,Exploits,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
53,T1587.003,,Digital Certificates,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
54,T1587.002,,Code Signing Certificates,,,non_mappable,NIST 800-53 Revision 5,14.1,Enterprise,01/13/2022,01/13/2022
