Junction ID,Security Control ID,NIST Control ID,DISA Control ID,CCI ID,Type
1,AC-01-00,AC-1,AC-1 a 1 (a),CCI-000002,Policy
2,AC-01-00,AC-1,AC-1 c 1,CCI-000003,Policy
3,AC-01-00,AC-1,AC-1 a 2,CCI-000005,Policy
4,AC-01-00,AC-1,AC-1 c 2,CCI-000006,Policy
5,AC-02-00,AC-2,AC-2 e,CCI-000010,Policy
6,AC-02-00,AC-2,AC-2 f,CCI-000011,Policy
7,AC-02-00,AC-2,AC-2 j,CCI-000012,Policy
8,AC-02-01,AC-2(1),AC-2 (1),CCI-000015,Technical
9,AC-02-02,AC-2(2),AC-2 (2),CCI-000016,Technical
10,AC-02-03,AC-2(3),AC-2 (3) (d),CCI-000017,Technical
11,AC-02-04,AC-2(4),AC-2 (4),CCI-000018,Technical
12,AC-02-05,AC-2(5),AC-2 (5),CCI-000019,Policy
13,AC-03-02,AC-3(2),AC-3 (2),CCI-000021,Technical
14,AC-03-05,AC-3(5),AC-3 (5),CCI-000024,Technical
15,AC-04-02,AC-4(2),AC-4 (2),CCI-000026,Technical
16,AC-04-03,AC-4(3),AC-4 (3),CCI-000027,Technical
17,AC-04-04,AC-4(4),AC-4 (4),CCI-000028,Policy
18,AC-04-05,AC-4(5),AC-4 (5),CCI-000029,Technical
19,AC-04-06,AC-4(6),AC-4 (6),CCI-000030,Technical
20,AC-04-07,AC-4(7),AC-4 (7),CCI-000031,Technical
21,AC-04-08,AC-4(8),AC-4 (8) (a),CCI-000032,Technical
22,AC-04-10,AC-4(10),AC-4 (10),CCI-000034,Technical
23,AC-04-11,AC-4(11),AC-4 (11),CCI-000035,Technical
24,AC-06-02,AC-6(2),AC-6 (2),CCI-000039,Policy
25,AC-06-03,AC-6(3),AC-6 (3),CCI-000041,Policy
26,AC-06-03,AC-6(3),AC-6 (3),CCI-000042,Policy
27,AC-07-00,AC-7,AC-7 a,CCI-000043,Policy
28,AC-07-00,AC-7,AC-7 a,CCI-000044,Technical
29,AC-08-00,AC-8,AC-8 a,CCI-000048,Technical
30,AC-08-00,AC-8,AC-8 b,CCI-000050,Technical
31,AC-09-00,AC-9,AC-9,CCI-000052,Technical
32,AC-09-01,AC-9(1),AC-9 (1),CCI-000053,Technical
33,AC-10-00,AC-10,AC-10,CCI-000054,Technical
34,AC-10-00,AC-10,AC-10,CCI-000055,Policy
35,AC-11-00,AC-11,AC-11 b,CCI-000056,Technical
36,AC-11-00,AC-11,AC-11 a,CCI-000057,Technical
37,AC-11-00,AC-11,AC-11 a,CCI-000059,Policy
38,AC-11-01,AC-11(1),AC-11 (1),CCI-000060,Technical
39,AC-14-00,AC-14,AC-14 a,CCI-000061,Policy
40,AC-17-00,AC-17,AC-17 b,CCI-000065,Policy
