Junction ID,ATT&CK Technique ID,ATT&CK Mitigation ID,Mapping Description
1,T0800,M0807,"Use host-based allowlists to prevent devices from accepting connections from unauthorized systems. For example, allowlists can be used to ensure devices can only connect with master stations or known management/engineering workstations. (Citation: Departm"
2,T0800,M0801,"All devices or systems changes, including all administrative functions, should require authentication. Consider using access management technologies to enforce authorization on all management interface access attempts, especially when the device does not "
3,T0800,M0800,Restrict configurations changes and firmware updating abilities to only authorized individuals.
4,T0800,M0802,Protocols used for device management should authenticate all network messages to prevent unauthorized system changes.
5,T0800,M0937,Filter for protocols and payloads associated with firmware activation or updating activity.
6,T0800,M0804,"Devices that allow remote management of firmware should require authentication before allowing any changes. The authentication mechanisms should also support [Account Use Policies](https://attack.mitre.org/mitigations/M0936), [Password Policies](https://a"
7,T0800,M0930,Segment operational network and systems to restrict access to critical system functions to predetermined management systems. (Citation: Department of Homeland Security September 2016)
8,T0800,M0813,Authenticate connections fromsoftware and devices to prevent unauthorized systems from accessing protected management functions.
9,T0801,M0816,This type of attack technique cannot be easily mitigated with preventive controls since it is based on the abuse of system features.
10,T0802,M0807,"Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support."
11,T0802,M0930,"Prevent unauthorized systems from accessing control servers or field devices containing industrial information, especially services used for common automation protocols (e.g., DNP3, OPC)."
12,T0803,M0807,"Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support."
13,T0803,M0810,"Provide an alternative method for sending critical commands message to outstations, this could include using radio/cell communication to send messages to a field technician that physically performs the control function."
14,T0803,M0814,Unauthorized connections can be prevented by statically defining the hosts and ports used for automation protocol connections.
15,T0804,M0807,"Utilize network allowlists to restrict unnecessary connections to network devices (e.g., comm servers, serial to ethernet converters) and services, especially in cases when devices have limits on the number of simultaneous sessions they support."
16,T0804,M0810,"Provide an alternative method for sending critical report messages to operators, this could include using radio/cell communication to obtain messages from field technicians that can locally obtain telemetry and status data."
17,T0804,M0814,Unauthorized connections can be prevented by statically defining the hosts and ports used for automation protocol connections.
