Junction ID,CAPEC ID,Technique ID
1,636,T1001.002
2,150,T1003
3,37,T1005
4,204,T1005
5,545,T1005
6,647,T1005
7,574,T1007
8,647,T1012
9,552,T1014
10,309,T1016
11,292,T1018
12,555,T1021
13,561,T1021.002
14,267,T1027
15,542,T1027
16,572,T1027.001
17,655,T1027.001
18,636,T1027.003
19,636,T1027.004
20,35,T1027.006
21,19,T1027.009
22,35,T1027.009
23,448,T1027.009
24,577,T1033
25,177,T1036
26,473,T1036.001
27,165,T1036.003
28,504,T1036.004
29,543,T1036.005
30,616,T1036.005
31,11,T1036.006
32,649,T1036.006
33,635,T1036.007
34,564,T1037
35,639,T1039
36,57,T1040
37,65,T1040
38,158,T1040
39,300,T1046
40,309,T1049
41,675,T1052
42,251,T1055
43,660,T1055
44,30,T1055.003
45,569,T1056
46,654,T1056
47,568,T1056.001
48,383,T1056.004
49,573,T1057
50,576,T1069
51,268,T1070
52,187,T1072
53,657,T1072
54,560,T1078
55,70,T1078.001
56,562,T1080
57,312,T1082
58,313,T1082
59,580,T1082
60,127,T1083
61,497,T1083
62,575,T1087
63,465,T1090.001
64,481,T1090.004
65,457,T1091
66,457,T1092
67,112,T1110
68,49,T1110.001
69,55,T1110.002
70,565,T1110.003
71,600,T1110.004
72,158,T1111
73,609,T1111
74,651,T1111
75,203,T1112
76,648,T1113
77,555,T1114.002
78,637,T1115
79,150,T1119
80,646,T1120
81,634,T1123
82,295,T1124
83,634,T1125
84,670,T1127
85,555,T1133
86,21,T1134
87,633,T1134
88,60,T1134.001
89,196,T1134.002
90,196,T1134.003
91,643,T1135
92,698,T1176
93,593,T1185
94,662,T1185
95,438,T1195
96,439,T1195
97,446,T1195
98,442,T1195.001
99,445,T1195.001
100,511,T1195.001
101,538,T1195.001
102,670,T1195.001
103,691,T1195.001
104,695,T1195.001
105,186,T1195.002
106,442,T1195.002
107,443,T1195.002
108,523,T1195.002
109,669,T1195.002
110,673,T1195.002
111,678,T1195.002
112,691,T1195.002
113,440,T1195.003
114,443,T1195.003
115,516,T1195.003
116,520,T1195.003
117,522,T1195.003
118,531,T1195.003
119,537,T1195.003
120,539,T1195.003
121,671,T1195.003
122,672,T1195.003
123,674,T1195.003
124,677,T1195.003
125,440,T1200
126,665,T1211
127,150,T1213
128,169,T1217
129,636,T1218.001
130,636,T1221
131,148,T1491
132,532,T1495
133,125,T1498.001
134,482,T1498.001
135,528,T1498.001
136,666,T1498.001
137,490,T1498.002
138,125,T1499
139,131,T1499
140,227,T1499
141,482,T1499.001
142,666,T1499.001
143,469,T1499.002
144,482,T1499.002
145,488,T1499.002
146,489,T1499.002
147,528,T1499.002
148,130,T1499.003
149,25,T1499.004
150,650,T1505.003
151,698,T1505.004
152,558,T1505.005
153,640,T1505.005
154,642,T1505.005
155,648,T1513
156,581,T1518.001
157,21,T1528
158,150,T1530
159,2,T1531
160,163,T1534
161,21,T1539
162,31,T1539
163,532,T1542.001
164,638,T1542.002
165,665,T1542.002
166,552,T1542.003
167,550,T1543
168,551,T1543
169,564,T1543.001
170,478,T1543.003
171,564,T1543.004
172,556,T1546.001
173,19,T1546.004
174,558,T1546.008
175,19,T1546.016
176,564,T1547
177,270,T1547.001
178,579,T1547.004
179,552,T1547.006
180,132,T1547.009
181,270,T1547.014
182,114,T1548
183,115,T1548
184,122,T1548
185,233,T1548
186,654,T1548.004
187,593,T1550.001
188,644,T1550.002
189,645,T1550.003
190,60,T1550.004
191,191,T1552.001
192,639,T1552.001
193,647,T1552.002
194,639,T1552.003
195,37,T1552.004
196,474,T1552.004
197,485,T1552.004
198,639,T1552.004
199,639,T1552.006
200,68,T1553.002
201,206,T1553.002
202,473,T1553.002
203,479,T1553.004
204,642,T1554
205,150,T1555
206,545,T1555.001
207,665,T1556
208,578,T1556.006
209,94,T1557
210,141,T1557.002
211,697,T1557.003
212,652,T1558
213,509,T1558.003
214,578,T1562.001
215,268,T1562.002
216,571,T1562.002
217,571,T1562.002
218,578,T1562.002
219,13,T1562.003
220,268,T1562.003
221,578,T1562.004
222,571,T1562.006
223,578,T1562.007
224,268,T1562.008
225,571,T1562.008
226,578,T1562.008
227,578,T1562.009
228,593,T1563
229,35,T1564.009
230,668,T1565.002
231,98,T1566
232,163,T1566.001
233,163,T1566.002
234,163,T1566.003
235,471,T1574.001
236,641,T1574.002
237,471,T1574.004
238,17,T1574.005
239,642,T1574.005
240,13,T1574.006
241,640,T1574.006
242,13,T1574.007
243,38,T1574.007
244,159,T1574.008
245,471,T1574.008
246,38,T1574.009
247,1,T1574.01
248,17,T1574.01
249,180,T1574.01
250,478,T1574.011
251,640,T1574.013
252,142,T1584.002
253,542,T1587.001
254,407,T1589
255,309,T1590
256,169,T1592
257,541,T1592.002
258,169,T1595
259,98,T1598
260,163,T1598.001
261,163,T1598.002
262,163,T1598.003
263,700,T1599
264,620,T1600
265,150,T1602
266,196,T1606
267,464,T1606.001
268,480,T1611
269,694,T1614
270,576,T1615
271,640,T1620
272,203,T1647
